rank,uid,username,type,accompany,medal_name,medal_level
1,495672142,千早爱音要坦荡荡,总督,569,恬豆包,31
2,3546692863396694,早睡早起1855,提督,274,恬豆包,30
3,149522,sed-i,提督,569,恬豆包,29
4,12071021,纯良小羊,提督,617,恬豆包,29
5,31798725,牛之七,提督,89,恬豆包,28
6,79614621,悲山秋雨落,提督,159,恬豆包,28
7,411146226,豆请给我一斤糖炒栗子,提督,628,恬豆包,28
8,30502624,爱喝奶茶的发面馒头,提督,252,恬豆包,28
9,2794950,梦怡少年,提督,369,恬豆包,27
10,2941287,问问拿哪张医院预诊单,提督,208,恬豆包,27
11,491121103,绯桂大好き,提督,405,恬豆包,27
12,5850658,rofflecake,提督,119,恬豆包,27
13,69190175,小梦-逝去的青春,提督,87,恬豆包,27
14,36269533,君ゆゆゆ魚,提督,63,恬豆包,26
15,231051,蕾恩・玛格特洛依德,提督,119,恬豆包,25
16,356892,阿斯特赖亚丶,提督,49,恬豆包,25
17,12205426,千稻草,提督,18,恬豆包,25
18,13927696,Marriovo,提督,52,恬豆包,25
19,150434129,桓殳,提督,40,恬豆包,25
20,2314835,KugimiyaNanase,舰长,599,恬豆包,29
21,1302082741,粗鲁卑鄙,舰长,708,恬豆包,29
22,225883915,飘啊飘啊飘啊飘_,舰长,725,恬豆包,29
23,385944,宝宝喝点水吧,舰长,398,恬豆包,29
24,319263289,神棍老师麦迪武,舰长,232,恬豆包,29
25,7833154,nothing-iwnl-,舰长,809,恬豆包,28
26,2058228,冰尾青年事件簿,舰长,138,恬豆包,28
27,2482872,财前葵,舰长,479,恬豆包,28
28,2966435,叙星晨,舰长,689,恬豆包,28
29,4631465,禧浴搓澡巾,舰长,390,恬豆包,28
30,224670,毛玉喵,舰长,539,恬豆包,28
31,400702,月神二号,舰长,638,恬豆包,28
32,378823,不染葵,舰长,276,恬豆包,28
33,1686289594,丸梨普贝当,舰长,968,恬豆包,28
34,39140611,海蓝丶胜者悲歌,舰长,402,恬豆包,28
35,431956406,我的颜栗只有你,舰长,419,恬豆包,27
36,124003269,曲婉的小跟班,舰长,382,恬豆包,27
37,59955258,这个昵称已经有鬼用过了,舰长,298,恬豆包,27
38,26892910,大于3个小于30个字符,舰长,1094,恬豆包,27
39,39088057,ZZzzzKk_,舰长,208,恬豆包,27
40,43667411,蒼のエーテル,舰长,552,恬豆包,27
41,93214,o秋-知弦o,舰长,150,恬豆包,27
42,12613525,矮摇摊,舰长,119,恬豆包,27
43,32438573,自爆前的沙鲁,舰长,473,恬豆包,27
44,4464599,天曦,舰长,526,恬豆包,27
45,19531191,大老师Gin,舰长,58,恬豆包,27
46,38600609,二月暨望,舰长,238,恬豆包,27
47,97097355,大夢惊鸿,舰长,416,恬豆包,27
48,12796481,绯色丶花,舰长,568,恬豆包,26
49,102748146,我要发动我的技能,舰长,471,恬豆包,26
50,1580640,劝你纯良,舰长,569,恬豆包,26
51,151082,暴躁的妹唄唄,舰长,894,恬豆包,26
52,47943455,恬豆加油,舰长,316,恬豆包,26
53,49855368,想起恐怖的事,舰长,77,恬豆包,26
54,111580180,月光鹿角,舰长,118,恬豆包,26
55,27126376,大盒甜,舰长,227,恬豆包,26
56,215156666,全点防御高咲侑,舰长,359,恬豆包,26
57,22020361,我很中怡栗,舰长,448,恬豆包,26
58,6052395,知非晓默,舰长,488,恬豆包,26
59,57116,郭德纲,舰长,233,恬豆包,26
60,95807009,无人问许,舰长,90,恬豆包,26
61,90938464,梨寶的戀愛單日券,舰长,569,恬豆包,26
62,10826177,瑜木踢西瓜,舰长,1019,恬豆包,26
63,57134664,唯怡豆女乃,舰长,149,恬豆包,26
64,3270926,YO最爱甜豆的鱼,舰长,178,恬豆包,26
65,264495479,逗逗阿丶,舰长,239,恬豆包,26
66,13637836,A-B-C-K,舰长,430,恬豆包,26
67,143641,御意見無用-,舰长,269,恬豆包,26
68,18637086,丶芯丨,舰长,269,恬豆包,26
69,4429890,十堰张湾阿姨,舰长,510,恬豆包,26
70,47734615,士多啤栗少吃俊,舰长,83,恬豆包,26
71,381373415,豆奶为你痴,舰长,234,恬豆包,26
72,2106805,SPYNGELION,舰长,779,恬豆包,26
73,177936092,幼稚占领高地,舰长,269,恬豆包,26
74,9970815,-古原-,舰长,209,恬豆包,26
75,1671780767,真麻烦胡乱起一个,舰长,390,恬豆包,26
76,26984312,格罗宁根的老汉,舰长,418,恬豆包,26
77,404140110,奈尔露菲雅,舰长,595,恬豆包,26
78,32283784,普通小随,舰长,293,恬豆包,26
79,1519588,虎落平阳变北7,舰长,88,恬豆包,26
80,100545100,木有云Q,舰长,269,恬豆包,26
81,24643425,睡觉中zzz,舰长,88,恬豆包,26
82,648561547,丸子战犬Darwin1,舰长,53,恬豆包,26
83,71993,月颗千,舰长,524,恬豆包,26
84,59379500,灬亲亲握握灬,舰长,720,恬豆包,26
85,15712025,秒我中子,舰长,208,恬豆包,26
86,32166499,一般小豆,舰长,282,恬豆包,26
87,2905159,HAX-ER,舰长,89,恬豆包,26
88,273213275,沐霖牛车偷吃我彩色矿,舰长,52,恬豆包,26
89,691885237,狱卒小吏,舰长,122,恬豆包,26
90,18935096,罗撒菲斯,舰长,210,恬豆包,26
91,11543260,静远秋枫,舰长,179,恬豆包,26
92,8734954,SpaceChaos,舰长,210,恬豆包,26
93,12375704,太陽P,舰长,210,恬豆包,25
94,25934948,食堂阿姨小男友1号,舰长,150,恬豆包,25
95,20270543,Rayarq,舰长,595,恬豆包,25
96,1337100,竹林十五郎,舰长,179,恬豆包,25
97,3409955,--Saiki--,舰长,359,恬豆包,25
98,14605877,jasonlai1004,舰长,56,恬豆包,25
99,11467904,卷毛狒狒_Official,舰长,167,恬豆包,25
100,8338545,十五之心月,舰长,90,恬豆包,25
101,641276,世杰,舰长,539,恬豆包,25
102,33143732,猫雷今天陪几瓶,舰长,328,恬豆包,25
103,307315372,给我一拳2102,舰长,359,恬豆包,25
104,63037,水银灯火灵,舰长,538,恬豆包,25
105,52126672,zara447,舰长,146,恬豆包,25
106,5003339,湊-面粉,舰长,89,恬豆包,25
107,671691442,万俟谙,舰长,77,恬豆包,25
108,25945184,树一学长不yue谢谢,舰长,89,恬豆包,25
109,334850696,热爱沙雕的波波老师,舰长,147,恬豆包,25
110,822417,一气三,舰长,478,恬豆包,25
111,350668085,豆有很多好运气,舰长,90,恬豆包,25
112,298243350,千棠冰,舰长,94,恬豆包,25
113,274734377,墨玉北狐,舰长,82,恬豆包,25
114,199170103,BiorgTrinityx,舰长,88,恬豆包,25
115,7304164,mctyrstj,舰长,400,恬豆包,25
116,38349545,爱又恬豆单推沐梨,舰长,60,恬豆包,25
117,4104624,天才美少女恬豆,舰长,474,恬豆包,25
118,524297,脸黑没钱肝不动,舰长,301,恬豆包,25
119,5352295,笑笑笑岔气,舰长,30,恬豆包,25
120,82622,→...←,舰长,237,恬豆包,25
121,10055825,LonelyFace1st,舰长,418,恬豆包,25
