rank,uid,username,type,accompany,medal_name,medal_level
1,3546692863396694,早睡早起1855,总督,253,恬豆包,30
2,149522,sed-i,提督,548,恬豆包,29
3,12071021,纯良小羊,提督,596,恬豆包,29
4,96000322,爱吃小绿龟的恬豆包,提督,799,恬豆包,28
5,79614621,悲山秋雨落,提督,138,恬豆包,28
6,2482872,财前葵,提督,458,恬豆包,28
7,411146226,豆请给我一斤糖炒栗子,提督,607,恬豆包,28
8,31798725,牛之七,提督,68,恬豆包,28
9,30502624,爱喝奶茶的发面馒头,提督,231,恬豆包,27
10,491121103,绯桂大好き,提督,384,恬豆包,27
11,69190175,小梦-逝去的青春,提督,66,恬豆包,27
12,97097355,大夢惊鸿,提督,395,恬豆包,27
13,264495479,逗逗阿丶,提督,218,恬豆包,26
14,234549409,左边雨右边鱼,提督,28,恬豆包,26
15,11467904,卷毛狒狒_Official,提督,146,恬豆包,25
16,36269533,君ゆゆゆ魚,提督,42,恬豆包,25
17,174565,李寶根,提督,18,恬豆包,25
18,150434129,桓殳,提督,19,恬豆包,25
19,495672142,皎洁的月吗显得特别亮,舰长,548,恬豆包,30
20,13423628,可是我是个荔枝啊,舰长,503,恬豆包,30
21,2314835,KugimiyaNanase,舰长,578,恬豆包,29
22,225883915,飘啊飘啊飘啊飘_,舰长,704,恬豆包,29
23,385944,宝宝喝点水吧,舰长,377,恬豆包,29
24,319263289,神棍老师麦迪武,舰长,211,恬豆包,28
25,7833154,nothing-iwnl-,舰长,788,恬豆包,28
26,2966435,叙星晨,舰长,668,恬豆包,28
27,4631465,禧浴搓澡巾,舰长,369,恬豆包,28
28,224670,毛玉喵,舰长,518,恬豆包,28
29,1686289594,丸梨普贝当,舰长,947,恬豆包,28
30,378823,不染葵,舰长,261,恬豆包,28
31,400702,月神二号,舰长,617,恬豆包,28
32,39140611,海蓝丶胜者悲歌,舰长,381,恬豆包,27
33,431956406,我的颜栗只有你,舰长,398,恬豆包,27
34,59955258,这个昵称已经有鬼用过了,舰长,277,恬豆包,27
35,26892910,大于3个小于30个字符,舰长,1073,恬豆包,27
36,39088057,ZZzzzKk_,舰长,187,恬豆包,27
37,124003269,曲婉的小跟班,舰长,361,恬豆包,27
38,93214,o秋-知弦o,舰长,129,恬豆包,27
39,32438573,自爆前的沙鲁,舰长,452,恬豆包,27
40,4464599,天曦,舰长,505,恬豆包,27
41,38600609,二月暨望,舰长,217,恬豆包,27
42,12613525,矮摇摊,舰长,98,恬豆包,27
43,340809,玛修基列萊特,舰长,421,恬豆包,27
44,19531191,大老师Gin,舰长,37,恬豆包,26
45,12796481,绯色丶花,舰长,547,恬豆包,26
46,7033332,BusyTime,舰长,266,恬豆包,26
47,1580640,劝你纯良,舰长,548,恬豆包,26
48,151082,暴躁的妹唄唄,舰长,873,恬豆包,26
49,47943455,恬豆加油,舰长,295,恬豆包,26
50,22020361,我很中怡栗,舰长,427,恬豆包,26
51,2941287,问问拿哪张医院预诊单,舰长,187,恬豆包,26
52,215156666,全点防御高咲侑,舰长,338,恬豆包,26
53,27126376,大盒甜,舰长,206,恬豆包,26
54,6052395,知非晓默,舰长,467,恬豆包,26
55,57116,郭德纲,舰长,212,恬豆包,26
56,5114175,桔子棉花糖orange,舰长,491,恬豆包,26
57,613077,唐炒豆栗,舰长,266,恬豆包,26
58,8350414,智能成长型冤种,舰长,266,恬豆包,26
59,95807009,无人问许,舰长,69,恬豆包,26
60,90938464,梨寶的戀愛單日券,舰长,548,恬豆包,26
61,111580180,月光鹿角,舰长,97,恬豆包,26
62,10826177,瑜木踢西瓜,舰长,998,恬豆包,26
63,49855368,想起恐怖的事,舰长,56,恬豆包,26
64,3270926,YO最爱甜豆的鱼,舰长,157,恬豆包,26
65,143641,御意見無用-,舰长,248,恬豆包,26
66,4429890,十堰张湾阿姨,舰长,489,恬豆包,26
67,2106805,SPYNGELION,舰长,758,恬豆包,26
68,177936092,幼稚占领高地,舰长,248,恬豆包,26
69,1671780767,真麻烦胡乱起一个,舰长,369,恬豆包,26
70,13637836,A-B-C-K,舰长,415,恬豆包,26
71,381373415,豆奶为你痴,舰长,213,恬豆包,26
72,57134664,唯怡豆女乃,舰长,128,恬豆包,26
73,26984312,格罗宁根的老汉,舰长,397,恬豆包,26
74,18637086,丶芯丨,舰长,248,恬豆包,26
75,404140110,奈尔露菲雅,舰长,574,恬豆包,26
76,32283784,普通小随,舰长,272,恬豆包,26
77,9970815,-古原-,舰长,188,恬豆包,26
78,1519588,虎落平阳变北7,舰长,67,恬豆包,26
79,59379500,灬亲亲握握灬,舰长,699,恬豆包,26
80,15712025,秒我中子,舰长,187,恬豆包,26
81,100545100,木有云Q,舰长,248,恬豆包,26
82,24643425,睡觉中zzz,舰长,67,恬豆包,26
83,71993,月颗千,舰长,503,恬豆包,26
84,17242172,怡豆先生,舰长,178,恬豆包,26
85,32166499,一般小豆,舰长,261,恬豆包,26
86,18935096,罗撒菲斯,舰长,189,恬豆包,26
