rank,uid,username,type,accompany,medal_name,medal_level
1,495672142,千早爱音要坦荡荡,总督,560,恬豆包,31
2,3546692863396694,早睡早起1855,提督,265,恬豆包,30
3,149522,sed-i,提督,560,恬豆包,29
4,12071021,纯良小羊,提督,608,恬豆包,29
5,31798725,牛之七,提督,80,恬豆包,28
6,96000322,爱吃小绿龟的恬豆包,提督,811,恬豆包,28
7,79614621,悲山秋雨落,提督,150,恬豆包,28
8,411146226,豆请给我一斤糖炒栗子,提督,619,恬豆包,28
9,30502624,爱喝奶茶的发面馒头,提督,243,恬豆包,27
10,491121103,绯桂大好き,提督,396,恬豆包,27
11,69190175,小梦-逝去的青春,提督,78,恬豆包,27
12,97097355,大夢惊鸿,提督,407,恬豆包,27
13,264495479,逗逗阿丶,提督,230,恬豆包,26
14,36269533,君ゆゆゆ魚,提督,54,恬豆包,26
15,11467904,卷毛狒狒_Official,提督,158,恬豆包,25
16,12205426,千稻草,提督,9,恬豆包,25
17,356892,阿斯特赖亚丶,提督,40,恬豆包,25
18,174565,李寶根,提督,30,恬豆包,25
19,150434129,桓殳,提督,31,恬豆包,25
20,2314835,KugimiyaNanase,舰长,590,恬豆包,29
21,1302082741,粗鲁卑鄙,舰长,699,恬豆包,29
22,225883915,飘啊飘啊飘啊飘_,舰长,716,恬豆包,29
23,385944,宝宝喝点水吧,舰长,389,恬豆包,29
24,319263289,神棍老师麦迪武,舰长,223,恬豆包,29
25,7833154,nothing-iwnl-,舰长,800,恬豆包,28
26,2058228,冰尾青年事件簿,舰长,129,恬豆包,28
27,2482872,财前葵,舰长,470,恬豆包,28
28,2966435,叙星晨,舰长,680,恬豆包,28
29,4631465,禧浴搓澡巾,舰长,381,恬豆包,28
30,224670,毛玉喵,舰长,530,恬豆包,28
31,400702,月神二号,舰长,629,恬豆包,28
32,1686289594,丸梨普贝当,舰长,959,恬豆包,28
33,39140611,海蓝丶胜者悲歌,舰长,393,恬豆包,28
34,431956406,我的颜栗只有你,舰长,410,恬豆包,27
35,59955258,这个昵称已经有鬼用过了,舰长,289,恬豆包,27
36,124003269,曲婉的小跟班,舰长,373,恬豆包,27
37,26892910,大于3个小于30个字符,舰长,1085,恬豆包,27
38,39088057,ZZzzzKk_,舰长,199,恬豆包,27
39,43667411,蒼のエーテル,舰长,543,恬豆包,27
40,93214,o秋-知弦o,舰长,141,恬豆包,27
41,12613525,矮摇摊,舰长,110,恬豆包,27
42,32438573,自爆前的沙鲁,舰长,464,恬豆包,27
43,4464599,天曦,舰长,517,恬豆包,27
44,19531191,大老师Gin,舰长,49,恬豆包,27
45,38600609,二月暨望,舰长,229,恬豆包,27
46,2941287,问问拿哪张医院预诊单,舰长,199,恬豆包,27
47,102748146,我要发动我的技能,舰长,462,恬豆包,26
48,12796481,绯色丶花,舰长,559,恬豆包,26
49,1580640,劝你纯良,舰长,560,恬豆包,26
50,151082,暴躁的妹唄唄,舰长,885,恬豆包,26
51,47943455,恬豆加油,舰长,307,恬豆包,26
52,5850658,rofflecake,舰长,110,恬豆包,26
53,27126376,大盒甜,舰长,218,恬豆包,26
54,215156666,全点防御高咲侑,舰长,350,恬豆包,26
55,111580180,月光鹿角,舰长,109,恬豆包,26
56,22020361,我很中怡栗,舰长,439,恬豆包,26
57,57116,郭德纲,舰长,224,恬豆包,26
58,6052395,知非晓默,舰长,479,恬豆包,26
59,49855368,想起恐怖的事,舰长,68,恬豆包,26
60,5114175,桔子棉花糖orange,舰长,503,恬豆包,26
61,95807009,无人问许,舰长,81,恬豆包,26
62,90938464,梨寶的戀愛單日券,舰长,560,恬豆包,26
63,10826177,瑜木踢西瓜,舰长,1010,恬豆包,26
64,3270926,YO最爱甜豆的鱼,舰长,169,恬豆包,26
65,13637836,A-B-C-K,舰长,421,恬豆包,26
66,143641,御意見無用-,舰长,260,恬豆包,26
67,57134664,唯怡豆女乃,舰长,140,恬豆包,26
68,4429890,十堰张湾阿姨,舰长,501,恬豆包,26
69,18637086,丶芯丨,舰长,260,恬豆包,26
70,47734615,士多啤栗少吃俊,舰长,74,恬豆包,26
71,2106805,SPYNGELION,舰长,770,恬豆包,26
72,177936092,幼稚占领高地,舰长,260,恬豆包,26
73,381373415,豆奶为你痴,舰长,225,恬豆包,26
74,1671780767,真麻烦胡乱起一个,舰长,381,恬豆包,26
75,9970815,-古原-,舰长,200,恬豆包,26
76,26984312,格罗宁根的老汉,舰长,409,恬豆包,26
77,404140110,奈尔露菲雅,舰长,586,恬豆包,26
78,32283784,普通小随,舰长,284,恬豆包,26
79,1519588,虎落平阳变北7,舰长,79,恬豆包,26
80,24643425,睡觉中zzz,舰长,79,恬豆包,26
81,648561547,丸子战犬Darwin1,舰长,44,恬豆包,26
82,71993,月颗千,舰长,515,恬豆包,26
83,59379500,灬亲亲握握灬,舰长,711,恬豆包,26
84,15712025,秒我中子,舰长,199,恬豆包,26
85,100545100,木有云Q,舰长,260,恬豆包,26
86,32166499,一般小豆,舰长,273,恬豆包,26
87,273213275,沐霖牛车偷吃我彩色矿,舰长,43,恬豆包,26
88,2905159,HAX-ER,舰长,80,恬豆包,26
89,18935096,罗撒菲斯,舰长,201,恬豆包,26
90,691885237,狱卒小吏,舰长,113,恬豆包,26
91,11543260,静远秋枫,舰长,170,恬豆包,26
92,8734954,SpaceChaos,舰长,201,恬豆包,26
93,12375704,太陽P,舰长,201,恬豆包,25
94,25934948,食堂阿姨小男友1号,舰长,141,恬豆包,25
95,20270543,Rayarq,舰长,586,恬豆包,25
96,1337100,竹林十五郎,舰长,170,恬豆包,25
97,3409955,--Saiki--,舰长,350,恬豆包,25
98,8338545,十五之心月,舰长,81,恬豆包,25
99,641276,世杰,舰长,530,恬豆包,25
100,14605877,jasonlai1004,舰长,47,恬豆包,25
101,33143732,猫雷今天陪几瓶,舰长,319,恬豆包,25
102,307315372,给我一拳2102,舰长,350,恬豆包,25
103,63037,ナリタタイシン,舰长,529,恬豆包,25
104,52126672,zara447,舰长,137,恬豆包,25
