rank,uid,username,type,accompany,medal_name,medal_level
1,3546692863396694,早睡早起1855,总督,250,恬豆包,30
2,385944,宝宝喝点水吧,提督,374,恬豆包,29
3,149522,sed-i,提督,545,恬豆包,29
4,12071021,纯良小羊,提督,593,恬豆包,29
5,96000322,爱吃小绿龟的恬豆包,提督,796,恬豆包,28
6,411146226,豆请给我一斤糖炒栗子,提督,604,恬豆包,28
7,2482872,财前葵,提督,455,恬豆包,28
8,31798725,牛之七,提督,65,恬豆包,28
9,400702,月神二号,提督,614,恬豆包,28
10,30502624,爱喝奶茶的发面馒头,提督,228,恬豆包,27
11,491121103,绯桂大好き,提督,381,恬豆包,27
12,69190175,小梦-逝去的青春,提督,63,恬豆包,27
13,12613525,矮摇摊,提督,95,恬豆包,27
14,97097355,大夢惊鸿,提督,392,恬豆包,26
15,57116,郭德纲,提督,210,恬豆包,26
16,264495479,逗逗阿丶,提督,215,恬豆包,26
17,234549409,左边雨右边鱼,提督,25,恬豆包,26
18,47734615,士多啤栗少吃俊,提督,60,恬豆包,25
19,11467904,卷毛狒狒_Official,提督,143,恬豆包,25
20,36269533,君ゆゆゆ魚,提督,39,恬豆包,25
21,174565,李寶根,提督,15,恬豆包,25
22,495672142,皎洁的豆奶显得特别亮,舰长,545,恬豆包,30
23,13423628,可是我是个荔枝啊,舰长,500,恬豆包,30
24,2314835,KugimiyaNanase,舰长,575,恬豆包,29
25,225883915,飘啊飘啊飘啊飘_,舰长,701,恬豆包,29
26,7833154,nothing-iwnl-,舰长,785,恬豆包,28
27,2966435,叙星晨,舰长,665,恬豆包,28
28,79614621,悲山秋雨落,舰长,135,恬豆包,28
29,224670,毛玉喵,舰长,515,恬豆包,28
30,4631465,禧浴搓澡巾,舰长,366,恬豆包,28
31,1686289594,丸梨普贝当,舰长,944,恬豆包,28
32,378823,不染葵,舰长,258,恬豆包,28
33,39140611,海蓝丶胜者悲歌,舰长,378,恬豆包,27
34,431956406,我的颜栗只有你,舰长,395,恬豆包,27
35,59955258,这个昵称已经有鬼用过了,舰长,274,恬豆包,27
36,26892910,大于3个小于30个字符,舰长,1070,恬豆包,27
37,39088057,ZZzzzKk_,舰长,184,恬豆包,27
38,124003269,曲婉的小跟班,舰长,358,恬豆包,27
39,4464599,天曦,舰长,502,恬豆包,27
40,38600609,二月暨望,舰长,214,恬豆包,27
41,340809,玛修基列萊特,舰长,418,恬豆包,27
42,93214,o秋-知弦o,舰长,126,恬豆包,27
43,19531191,大老师Gin,舰长,34,恬豆包,26
44,12796481,绯色丶花,舰长,544,恬豆包,26
45,7033332,BusyTime,舰长,263,恬豆包,26
46,1580640,劝你纯良,舰长,545,恬豆包,26
47,151082,暴躁的妹唄唄,舰长,870,恬豆包,26
48,47943455,恬豆加油,舰长,292,恬豆包,26
49,22020361,我很中怡栗,舰长,424,恬豆包,26
50,215156666,全点防御高咲侑,舰长,335,恬豆包,26
51,27126376,大盒甜,舰长,203,恬豆包,26
52,6052395,知非晓默,舰长,464,恬豆包,26
53,5114175,桔子棉花糖orange,舰长,488,恬豆包,26
54,8350414,智能成长型冤种,舰长,263,恬豆包,26
55,95807009,无人问许,舰长,66,恬豆包,26
56,613077,唐炒豆栗,舰长,263,恬豆包,26
57,2941287,问问拿哪张医院预诊单,舰长,184,恬豆包,26
58,90938464,梨寶的戀愛單日券,舰长,545,恬豆包,26
59,10826177,瑜木踢西瓜,舰长,995,恬豆包,26
60,49855368,想起恐怖的事,舰长,53,恬豆包,26
61,111580180,月光鹿角,舰长,94,恬豆包,26
62,3270926,YO最爱甜豆的鱼,舰长,154,恬豆包,26
63,143641,御意見無用-,舰长,245,恬豆包,26
64,4429890,爱妻怡终身会员,舰长,486,恬豆包,26
65,2106805,SPYNGELION,舰长,755,恬豆包,26
66,177936092,幼稚占领高地,舰长,245,恬豆包,26
67,1671780767,真麻烦胡乱起一个,舰长,366,恬豆包,26
68,13637836,A-B-C-K,舰长,412,恬豆包,26
69,26984312,格罗宁根的老汉,舰长,394,恬豆包,26
70,18637086,丶芯丨,舰长,245,恬豆包,26
71,381373415,豆奶为你痴,舰长,210,恬豆包,26
72,404140110,奈尔露菲雅,舰长,571,恬豆包,26
73,57134664,唯怡豆女乃,舰长,125,恬豆包,26
74,9970815,-古原-,舰长,185,恬豆包,26
75,1519588,虎落平阳变北7,舰长,64,恬豆包,26
76,59379500,灬亲亲握握灬,舰长,696,恬豆包,26
77,15712025,秒我中子,舰长,184,恬豆包,26
78,100545100,木有云Q,舰长,245,恬豆包,26
79,24643425,睡觉中zzz,舰长,64,恬豆包,26
80,71993,月颗千,舰长,500,恬豆包,26
81,17242172,怡豆先生,舰长,175,恬豆包,26
82,32166499,一般小豆,舰长,258,恬豆包,26
83,18935096,罗撒菲斯,舰长,186,恬豆包,26
84,691885237,狱卒小吏,舰长,98,恬豆包,26
85,11543260,静远秋枫,舰长,155,恬豆包,26
86,8734954,SpaceChaos,舰长,186,恬豆包,26
87,12375704,太陽P,舰长,186,恬豆包,25
88,2905159,HAX-ER,舰长,65,恬豆包,25
89,25934948,豆姐小男友1号,舰长,126,恬豆包,25
90,20270543,Rayarq,舰长,571,恬豆包,25
91,1337100,竹林十五郎,舰长,155,恬豆包,25
92,3409955,--Saiki--,舰长,335,恬豆包,25
93,8338545,十五之心月,舰长,66,恬豆包,25
94,641276,世杰,舰长,515,恬豆包,25
95,14605877,jasonlai1004,舰长,32,恬豆包,25
96,33143732,猫雷今天陪几瓶,舰长,304,恬豆包,25
97,63037,ナリタタイシン,舰长,514,恬豆包,25
98,52126672,zara447,舰长,122,恬豆包,25
99,307315372,给我一拳2102,舰长,335,恬豆包,25
100,822417,一气三,舰长,454,恬豆包,25
101,350668085,豆有很多好运气,舰长,66,恬豆包,25
102,199170103,BiorgTrinityx,舰长,64,恬豆包,25
103,5003339,湊-面粉,舰长,65,恬豆包,25
104,268355364,誓月存星,舰长,83,恬豆包,25
105,298243350,千棠冰,舰长,70,恬豆包,25
106,274734377,墨玉北狐,舰长,58,恬豆包,25
107,524297,脸黑没钱肝不动,舰长,277,恬豆包,25
108,10055825,LonelyFace1st,舰长,394,恬豆包,25
109,21979097,伊斯坎达尔点,舰长,328,恬豆包,25
110,82622,→...←,舰长,213,恬豆包,25
111,4104624,天才美少女恬豆,舰长,450,恬豆包,25
112,38349545,爱又恬豆单推沐梨,舰长,36,恬豆包,25
113,1627303,酸素氧氣,舰长,394,恬豆包,25
114,393226024,路过のDD,舰长,395,恬豆包,25
115,775344,光微子鸟,舰长,203,恬豆包,25
116,25945184,树一学长不yue谢谢,舰长,65,恬豆包,25
117,179381300,氕氘氚_HDT,舰长,64,恬豆包,25
118,739159,jy8049,舰长,83,恬豆包,25
119,12198532,N0ir-,舰长,153,恬豆包,25
120,361411559,更衣室里到底有什么,舰长,217,恬豆包,25
121,2472248,胶质魔法喵,舰长,124,恬豆包,25
122,95720504,凌風喵,舰长,334,恬豆包,25
123,35201973,森林图书馆,舰长,257,恬豆包,25
124,235455359,玉光剑气张遥星,舰长,336,恬豆包,25
125,52958891,我寻找过我自己,舰长,246,恬豆包,25
