rank,uid,username,type,accompany,medal_name,medal_level
1,495672142,爱要坦荡荡_说的豆理,总督,553,恬豆包,31
2,3546692863396694,早睡早起1855,提督,258,恬豆包,30
3,149522,sed-i,提督,553,恬豆包,29
4,12071021,纯良小羊,提督,601,恬豆包,29
5,96000322,爱吃小绿龟的恬豆包,提督,804,恬豆包,28
6,79614621,悲山秋雨落,提督,143,恬豆包,28
7,411146226,豆请给我一斤糖炒栗子,提督,612,恬豆包,28
8,31798725,牛之七,提督,73,恬豆包,28
9,30502624,爱喝奶茶的发面馒头,提督,236,恬豆包,27
10,491121103,绯桂大好き,提督,389,恬豆包,27
11,69190175,小梦-逝去的青春,提督,71,恬豆包,27
12,97097355,大夢惊鸿,提督,400,恬豆包,27
13,264495479,逗逗阿丶,提督,223,恬豆包,26
14,11467904,卷毛狒狒_Official,提督,151,恬豆包,25
15,36269533,君ゆゆゆ魚,提督,47,恬豆包,25
16,356892,阿斯特赖亚丶,提督,33,恬豆包,25
17,12205426,千稻草,提督,2,恬豆包,25
18,174565,李寶根,提督,23,恬豆包,25
19,150434129,桓殳,提督,24,恬豆包,25
20,13423628,可是我是个荔枝啊,舰长,508,恬豆包,30
21,2314835,KugimiyaNanase,舰长,583,恬豆包,29
22,1302082741,粗鲁卑鄙,舰长,692,恬豆包,29
23,225883915,飘啊飘啊飘啊飘_,舰长,709,恬豆包,29
24,385944,宝宝喝点水吧,舰长,382,恬豆包,29
25,319263289,神棍老师麦迪武,舰长,216,恬豆包,29
26,7833154,nothing-iwnl-,舰长,793,恬豆包,28
27,2058228,冰尾青年事件簿,舰长,122,恬豆包,28
28,2966435,叙星晨,舰长,673,恬豆包,28
29,2482872,财前葵,舰长,463,恬豆包,28
30,4631465,禧浴搓澡巾,舰长,374,恬豆包,28
31,224670,毛玉喵,舰长,523,恬豆包,28
32,378823,不染葵,舰长,266,恬豆包,28
33,1686289594,丸梨普贝当,舰长,952,恬豆包,28
34,400702,月神二号,舰长,622,恬豆包,28
35,39140611,海蓝丶胜者悲歌,舰长,386,恬豆包,28
36,431956406,我的颜栗只有你,舰长,403,恬豆包,27
37,59955258,这个昵称已经有鬼用过了,舰长,282,恬豆包,27
38,124003269,曲婉的小跟班,舰长,366,恬豆包,27
39,26892910,大于3个小于30个字符,舰长,1078,恬豆包,27
40,39088057,ZZzzzKk_,舰长,192,恬豆包,27
41,93214,o秋-知弦o,舰长,134,恬豆包,27
42,32438573,自爆前的沙鲁,舰长,457,恬豆包,27
43,4464599,天曦,舰长,510,恬豆包,27
44,38600609,二月暨望,舰长,222,恬豆包,27
45,19531191,大老师Gin,舰长,42,恬豆包,27
46,12613525,矮摇摊,舰长,103,恬豆包,27
47,102748146,我要发动我的技能,舰长,455,恬豆包,26
48,12796481,绯色丶花,舰长,552,恬豆包,26
49,2941287,问问拿哪张医院预诊单,舰长,192,恬豆包,26
50,7033332,BusyTime,舰长,271,恬豆包,26
51,1580640,劝你纯良,舰长,553,恬豆包,26
52,151082,暴躁的妹唄唄,舰长,878,恬豆包,26
53,47943455,恬豆加油,舰长,300,恬豆包,26
54,27126376,大盒甜,舰长,211,恬豆包,26
55,215156666,全点防御高咲侑,舰长,343,恬豆包,26
56,22020361,我很中怡栗,舰长,432,恬豆包,26
57,57116,郭德纲,舰长,217,恬豆包,26
58,6052395,知非晓默,舰长,472,恬豆包,26
59,5114175,桔子棉花糖orange,舰长,496,恬豆包,26
60,111580180,月光鹿角,舰长,102,恬豆包,26
61,613077,唐炒豆栗,舰长,271,恬豆包,26
62,95807009,无人问许,舰长,74,恬豆包,26
63,49855368,想起恐怖的事,舰长,61,恬豆包,26
64,8350414,智能成长型冤种,舰长,271,恬豆包,26
65,90938464,梨寶的戀愛單日券,舰长,553,恬豆包,26
66,10826177,瑜木踢西瓜,舰长,1003,恬豆包,26
67,3270926,YO最爱甜豆的鱼,舰长,162,恬豆包,26
68,143641,御意見無用-,舰长,253,恬豆包,26
69,4429890,十堰张湾阿姨,舰长,494,恬豆包,26
70,13637836,A-B-C-K,舰长,420,恬豆包,26
71,18637086,丶芯丨,舰长,253,恬豆包,26
72,2106805,SPYNGELION,舰长,763,恬豆包,26
73,177936092,幼稚占领高地,舰长,253,恬豆包,26
74,57134664,唯怡豆女乃,舰长,133,恬豆包,26
75,381373415,豆奶为你痴,舰长,218,恬豆包,26
76,1671780767,真麻烦胡乱起一个,舰长,374,恬豆包,26
77,26984312,格罗宁根的老汉,舰长,402,恬豆包,26
78,404140110,奈尔露菲雅,舰长,579,恬豆包,26
79,32283784,普通小随,舰长,277,恬豆包,26
80,9970815,-古原-,舰长,193,恬豆包,26
81,1519588,虎落平阳变北7,舰长,72,恬豆包,26
82,24643425,睡觉中zzz,舰长,72,恬豆包,26
83,59379500,灬亲亲握握灬,舰长,704,恬豆包,26
84,648561547,丸子战犬Darwin1,舰长,37,恬豆包,26
85,15712025,秒我中子,舰长,192,恬豆包,26
86,100545100,木有云Q,舰长,253,恬豆包,26
87,71993,月颗千,舰长,508,恬豆包,26
88,32166499,一般小豆,舰长,266,恬豆包,26
89,18935096,罗撒菲斯,舰长,194,恬豆包,26
90,47734615,士多啤栗少吃俊,舰长,67,恬豆包,26
91,2905159,HAX-ER,舰长,73,恬豆包,26
92,691885237,狱卒小吏,舰长,106,恬豆包,26
93,11543260,静远秋枫,舰长,163,恬豆包,26
94,273213275,沐霖牛车偷吃我彩色矿,舰长,36,恬豆包,26
95,5850658,rofflecake,舰长,103,恬豆包,26
96,8734954,SpaceChaos,舰长,194,恬豆包,26
97,12375704,太陽P,舰长,194,恬豆包,25
98,25934948,食堂阿姨小男友1号,舰长,134,恬豆包,25
