rank,uid,username,type,accompany,medal_name,medal_level
1,495672142,千早爱音要坦荡荡,总督,561,恬豆包,31
2,3546692863396694,早睡早起1855,提督,266,恬豆包,30
3,149522,sed-i,提督,561,恬豆包,29
4,12071021,纯良小羊,提督,609,恬豆包,29
5,31798725,牛之七,提督,81,恬豆包,28
6,79614621,悲山秋雨落,提督,151,恬豆包,28
7,411146226,豆请给我一斤糖炒栗子,提督,620,恬豆包,28
8,30502624,爱喝奶茶的发面馒头,提督,244,恬豆包,27
9,491121103,绯桂大好き,提督,397,恬豆包,27
10,69190175,小梦-逝去的青春,提督,79,恬豆包,27
11,97097355,大夢惊鸿,提督,408,恬豆包,27
12,264495479,逗逗阿丶,提督,231,恬豆包,26
13,36269533,君ゆゆゆ魚,提督,55,恬豆包,26
14,11467904,卷毛狒狒_Official,提督,159,恬豆包,25
15,12205426,千稻草,提督,10,恬豆包,25
16,356892,阿斯特赖亚丶,提督,41,恬豆包,25
17,174565,李寶根,提督,31,恬豆包,25
18,13927696,Marriovo,提督,44,恬豆包,25
19,150434129,桓殳,提督,32,恬豆包,25
20,2314835,KugimiyaNanase,舰长,591,恬豆包,29
21,1302082741,粗鲁卑鄙,舰长,700,恬豆包,29
22,225883915,飘啊飘啊飘啊飘_,舰长,717,恬豆包,29
23,385944,宝宝喝点水吧,舰长,390,恬豆包,29
24,319263289,神棍老师麦迪武,舰长,224,恬豆包,29
25,7833154,nothing-iwnl-,舰长,801,恬豆包,28
26,2058228,冰尾青年事件簿,舰长,130,恬豆包,28
27,2482872,财前葵,舰长,471,恬豆包,28
28,2966435,叙星晨,舰长,681,恬豆包,28
29,4631465,禧浴搓澡巾,舰长,382,恬豆包,28
30,224670,毛玉喵,舰长,531,恬豆包,28
31,400702,月神二号,舰长,630,恬豆包,28
32,1686289594,丸梨普贝当,舰长,960,恬豆包,28
33,39140611,海蓝丶胜者悲歌,舰长,394,恬豆包,28
34,431956406,我的颜栗只有你,舰长,411,恬豆包,27
35,59955258,这个昵称已经有鬼用过了,舰长,290,恬豆包,27
36,124003269,曲婉的小跟班,舰长,374,恬豆包,27
37,26892910,大于3个小于30个字符,舰长,1086,恬豆包,27
38,39088057,ZZzzzKk_,舰长,200,恬豆包,27
39,43667411,蒼のエーテル,舰长,544,恬豆包,27
40,93214,o秋-知弦o,舰长,142,恬豆包,27
41,12613525,矮摇摊,舰长,111,恬豆包,27
42,32438573,自爆前的沙鲁,舰长,465,恬豆包,27
43,4464599,天曦,舰长,518,恬豆包,27
44,19531191,大老师Gin,舰长,50,恬豆包,27
45,2941287,问问拿哪张医院预诊单,舰长,200,恬豆包,27
46,38600609,二月暨望,舰长,230,恬豆包,27
47,102748146,我要发动我的技能,舰长,463,恬豆包,26
48,12796481,绯色丶花,舰长,560,恬豆包,26
49,5850658,rofflecake,舰长,111,恬豆包,26
50,1580640,劝你纯良,舰长,561,恬豆包,26
51,151082,暴躁的妹唄唄,舰长,886,恬豆包,26
52,47943455,恬豆加油,舰长,308,恬豆包,26
53,27126376,大盒甜,舰长,219,恬豆包,26
54,215156666,全点防御高咲侑,舰长,351,恬豆包,26
55,111580180,月光鹿角,舰长,110,恬豆包,26
56,22020361,我很中怡栗,舰长,440,恬豆包,26
57,57116,郭德纲,舰长,225,恬豆包,26
58,6052395,知非晓默,舰长,480,恬豆包,26
59,49855368,想起恐怖的事,舰长,69,恬豆包,26
60,5114175,桔子棉花糖orange,舰长,504,恬豆包,26
61,95807009,无人问许,舰长,82,恬豆包,26
62,90938464,梨寶的戀愛單日券,舰长,561,恬豆包,26
63,10826177,瑜木踢西瓜,舰长,1011,恬豆包,26
64,3270926,YO最爱甜豆的鱼,舰长,170,恬豆包,26
65,13637836,A-B-C-K,舰长,422,恬豆包,26
66,143641,御意見無用-,舰长,261,恬豆包,26
67,57134664,唯怡豆女乃,舰长,141,恬豆包,26
68,4429890,十堰张湾阿姨,舰长,502,恬豆包,26
69,18637086,丶芯丨,舰长,261,恬豆包,26
70,47734615,士多啤栗少吃俊,舰长,75,恬豆包,26
71,381373415,豆奶为你痴,舰长,226,恬豆包,26
72,2106805,SPYNGELION,舰长,771,恬豆包,26
73,177936092,幼稚占领高地,舰长,261,恬豆包,26
