rank,uid,username,type,accompany,medal_name,medal_level
1,3546692863396694,早睡早起1855,总督,249,恬豆包,30
2,385944,宝宝喝点水吧,提督,373,恬豆包,29
3,149522,sed-i,提督,544,恬豆包,29
4,12071021,纯良小羊,提督,592,恬豆包,28
5,96000322,爱吃小绿龟的恬豆包,提督,795,恬豆包,28
6,2482872,财前葵,提督,454,恬豆包,28
7,31798725,牛之七,提督,64,恬豆包,28
8,400702,月神二号,提督,613,恬豆包,28
9,30502624,爱喝奶茶的发面馒头,提督,227,恬豆包,27
10,69190175,小梦-逝去的青春,提督,62,恬豆包,27
11,12613525,矮摇摊,提督,94,恬豆包,27
12,97097355,大夢惊鸿,提督,391,恬豆包,26
13,57116,郭德纲,提督,209,恬豆包,26
14,264495479,逗逗阿丶,提督,214,恬豆包,26
15,234549409,左边雨右边鱼,提督,24,恬豆包,26
16,47734615,士多啤栗少吃俊,提督,59,恬豆包,25
17,11467904,卷毛狒狒_Official,提督,142,恬豆包,25
18,36269533,君ゆゆゆ魚,提督,38,恬豆包,25
19,174565,李寶根,提督,14,恬豆包,25
20,495672142,AAA豆奶批发张大姨,舰长,544,恬豆包,30
21,13423628,可是我是个荔枝啊,舰长,499,恬豆包,30
22,2314835,KugimiyaNanase,舰长,574,恬豆包,29
23,225883915,飘啊飘啊飘啊飘_,舰长,700,恬豆包,29
24,7833154,nothing-iwnl-,舰长,784,恬豆包,28
25,2966435,叙星晨,舰长,664,恬豆包,28
26,79614621,悲山秋雨落,舰长,134,恬豆包,28
27,411146226,豆请给我一斤糖炒栗子,舰长,603,恬豆包,28
28,224670,毛玉喵,舰长,514,恬豆包,28
29,4631465,禧浴搓澡巾,舰长,365,恬豆包,28
30,1686289594,丸梨普贝当,舰长,943,恬豆包,28
31,378823,不染葵,舰长,257,恬豆包,28
32,39140611,海蓝丶胜者悲歌,舰长,377,恬豆包,27
33,431956406,我的颜栗只有你,舰长,394,恬豆包,27
34,59955258,这个昵称已经有鬼用过了,舰长,273,恬豆包,27
35,26892910,大于3个小于30个字符,舰长,1069,恬豆包,27
36,39088057,ZZzzzKk_,舰长,183,恬豆包,27
37,124003269,曲婉的小跟班,舰长,357,恬豆包,27
38,4464599,天曦,舰长,501,恬豆包,27
39,38600609,二月暨望,舰长,213,恬豆包,27
40,340809,玛修基列萊特,舰长,417,恬豆包,27
41,93214,o秋-知弦o,舰长,125,恬豆包,27
42,491121103,绯桂大好き,舰长,380,恬豆包,27
43,19531191,大老师Gin,舰长,33,恬豆包,26
44,12796481,绯色丶花,舰长,543,恬豆包,26
