rank,uid,username,type,accompany,medal_name,medal_level
1,495672142,豆奶粉馒头,总督,570,恬豆包,31
2,3546692863396694,早睡早起1855,提督,275,恬豆包,30
3,149522,sed-i,提督,570,恬豆包,29
4,12071021,纯良小羊,提督,618,恬豆包,29
5,31798725,牛之七,提督,90,恬豆包,28
6,79614621,悲山秋雨落,提督,160,恬豆包,28
7,411146226,豆请给我一斤糖炒栗子,提督,629,恬豆包,28
8,30502624,爱喝奶茶的发面馒头,提督,253,恬豆包,28
9,2794950,梦怡少年,提督,370,恬豆包,27
10,2941287,问问拿哪张医院预诊单,提督,209,恬豆包,27
11,491121103,绯桂大好き,提督,406,恬豆包,27
12,5850658,rofflecake,提督,120,恬豆包,27
13,69190175,小梦-逝去的青春,提督,88,恬豆包,27
14,36269533,君ゆゆゆ魚,提督,64,恬豆包,26
15,5607033,睡觉是爱好吃饭是特长,提督,60,恬豆包,25
16,231051,蕾恩・玛格特洛依德,提督,120,恬豆包,25
17,356892,阿斯特赖亚丶,提督,50,恬豆包,25
18,12205426,千稻草,提督,19,恬豆包,25
19,13927696,Marriovo,提督,53,恬豆包,25
20,150434129,桓殳,提督,41,恬豆包,25
21,2314835,KugimiyaNanase,舰长,600,恬豆包,29
22,1302082741,粗鲁卑鄙,舰长,709,恬豆包,29
23,225883915,飘啊飘啊飘啊飘_,舰长,726,恬豆包,29
24,385944,宝宝喝点水吧,舰长,399,恬豆包,29
25,319263289,神棍老师麦迪武,舰长,233,恬豆包,29
26,7833154,nothing-iwnl-,舰长,810,恬豆包,28
27,2058228,冰尾青年事件簿,舰长,139,恬豆包,28
28,2482872,财前葵,舰长,480,恬豆包,28
29,2966435,叙星晨,舰长,690,恬豆包,28
30,4631465,禧浴搓澡巾,舰长,391,恬豆包,28
31,224670,毛玉喵,舰长,540,恬豆包,28
32,400702,月神二号,舰长,639,恬豆包,28
33,378823,不染葵,舰长,277,恬豆包,28
34,1686289594,丸梨普贝当,舰长,969,恬豆包,28
35,39140611,海蓝丶胜者悲歌,舰长,403,恬豆包,28
36,431956406,我的颜栗只有你,舰长,420,恬豆包,27
37,124003269,曲婉的小跟班,舰长,383,恬豆包,27
38,59955258,这个昵称已经有鬼用过了,舰长,299,恬豆包,27
39,26892910,大于3个小于30个字符,舰长,1095,恬豆包,27
40,39088057,ZZzzzKk_,舰长,209,恬豆包,27
41,43667411,蒼のエーテル,舰长,553,恬豆包,27
42,93214,o秋-知弦o,舰长,151,恬豆包,27
43,12613525,矮摇摊,舰长,120,恬豆包,27
44,32438573,自爆前的沙鲁,舰长,474,恬豆包,27
45,4464599,天曦,舰长,527,恬豆包,27
46,19531191,大老师Gin,舰长,59,恬豆包,27
47,38600609,二月暨望,舰长,239,恬豆包,27
48,97097355,大夢惊鸿,舰长,417,恬豆包,27
49,12796481,绯色丶花,舰长,569,恬豆包,27
50,102748146,我要发动我的技能,舰长,472,恬豆包,26
51,1580640,劝你纯良,舰长,570,恬豆包,26
52,151082,暴躁的妹唄唄,舰长,895,恬豆包,26
53,47943455,恬豆加油,舰长,317,恬豆包,26
54,111580180,月光鹿角,舰长,119,恬豆包,26
55,49855368,想起恐怖的事,舰长,78,恬豆包,26
56,215156666,全点防御高咲侑,舰长,360,恬豆包,26
57,27126376,大盒甜,舰长,228,恬豆包,26
58,22020361,我很中怡栗,舰长,449,恬豆包,26
59,6052395,知非晓默,舰长,489,恬豆包,26
60,57116,郭德纲,舰长,234,恬豆包,26
61,95807009,无人问许,舰长,91,恬豆包,26
62,90938464,永远的鸟厨烈焰使,舰长,570,恬豆包,26
63,57134664,唯怡豆女乃,舰长,150,恬豆包,26
64,10826177,瑜木踢西瓜,舰长,1020,恬豆包,26
65,3270926,YO最爱甜豆的鱼,舰长,179,恬豆包,26
66,13637836,A-B-C-K,舰长,431,恬豆包,26
67,264495479,逗逗阿丶,舰长,240,恬豆包,26
68,18637086,丶芯丨,舰长,270,恬豆包,26
69,4429890,十堰张湾阿姨,舰长,511,恬豆包,26
70,143641,御意見無用-,舰长,270,恬豆包,26
