rank,uid,username,type,accompany,medal_name,medal_level
1,3546692863396694,早睡早起1855,提督,169,恬豆包,28
2,225883915,飘啊飘啊飘啊飘_,舰长,620,恬豆包,29
3,477273649,盐奶盖冷萃加氮,舰长,989,恬豆包,28
4,385944,宝宝喝点水吧,舰长,293,恬豆包,28
5,12071021,纯良小羊,舰长,512,恬豆包,28
6,1686289594,丸梨普贝当,舰长,863,恬豆包,28
7,8573986,氕氘氚丿丿l丿ll,舰长,239,恬豆包,27
8,39140611,海蓝丶胜者悲歌,舰长,297,恬豆包,27
9,26892910,大于3个小于30个字符,舰长,989,恬豆包,27
10,4464599,天曦,舰长,421,恬豆包,27
11,400702,月神二号,舰长,533,恬豆包,27
12,96635934,流泪人吾皇,舰长,993,恬豆包,27
13,6665522,辣牛奶不吃辣,舰长,999,恬豆包,26
14,1580640,劝你纯良,舰长,494,恬豆包,26
15,151082,暴躁的妹唄唄,舰长,789,恬豆包,26
16,6052395,知非晓默,舰长,383,恬豆包,26
17,215156666,全点防御高咲侑,舰长,296,恬豆包,26
18,10826177,瑜木踢西瓜,舰长,955,恬豆包,26
19,90938464,永远的鸟厨烈焰使,舰长,490,恬豆包,26
20,22020361,中怡栗栗子,舰长,386,恬豆包,26
21,30502624,爱喝奶茶的发面馒头,舰长,147,恬豆包,26
22,47943455,恬豆加油,舰长,216,恬豆包,26
23,4429890,徐佳莹丶LaLa,舰长,456,恬豆包,26
24,143641,御意見無用-,舰长,207,恬豆包,26
25,2106805,SPYNGELION,舰长,674,恬豆包,26
26,381373415,豆奶为你痴,舰长,174,恬豆包,26
27,404140110,奈尔露菲雅,舰长,490,恬豆包,26
28,59379500,灬亲亲握握灬,舰长,615,恬豆包,25
29,71993,月颗千,舰长,419,恬豆包,25
30,13637836,A-B-C-K,舰长,331,恬豆包,25
31,20270543,Rayarq,舰长,490,恬豆包,25
32,7556692,举年i,舰长,490,恬豆包,25
33,2450291,风涛不记苏,舰长,257,恬豆包,25
34,20555867,riru_Kazumi,舰长,329,恬豆包,25
35,32166499,一般小豆,舰长,177,恬豆包,25
36,4104624,天才美少女恬豆,舰长,369,恬豆包,25
37,235455359,玉光剑气张遥星,舰长,329,恬豆包,25
38,14689199,VentusJeff,舰长,239,恬豆包,25
39,35201973,森林图书馆,舰长,176,恬豆包,24
40,110375756,Einherjar,舰长,154,恬豆包,24
41,25137085,Jaime2Lannister,舰长,154,恬豆包,24
42,76787436,咫尺天涯间99,舰长,146,恬豆包,24
43,201450098,唱着歌弹着斑鸠,舰长,90,恬豆包,24
44,34011514,木可走首,舰长,146,恬豆包,24
45,8207824,地球OL国服第一混,舰长,91,恬豆包,24
46,211946101,戛纳大影帝,舰长,119,恬豆包,23
47,6609157,吾辈是柳絮,舰长,128,恬豆包,23
48,52709855,须弥感,舰长,128,恬豆包,23
49,5164976,にしきごい-,舰长,128,恬豆包,23
50,3546582301542999,烁焰512,舰长,128,恬豆包,23
51,299179629,iqbssbqi88,舰长,128,恬豆包,23
52,1972389896,bili_45792247048,舰长,128,恬豆包,23
53,161225119,花语凝夜,舰长,128,恬豆包,23
54,123281107,Yukinoa结城希亚的喵,舰长,149,恬豆包,23
55,11621965,沐渍唐,舰长,149,恬豆包,23
56,1150609275,金鱼大仙Studio,舰长,149,恬豆包,23
57,290893127,福禄王权,舰长,119,恬豆包,23
58,13066685,风逝reuxd,舰长,119,恬豆包,23
59,481118003,金鱼大鲸鱼,舰长,119,恬豆包,23
60,1669695555,あい秋天_,舰长,119,恬豆包,23
61,393319752,打豆豆haha,舰长,119,恬豆包,23
62,7906121,XDzz4,舰长,119,恬豆包,23
63,49177011,戏言侦探莉丝佳,舰长,119,恬豆包,23
64,400791585,一个自律的石头,舰长,119,恬豆包,23
65,3546646537308935,小阿的守夜人,舰长,119,恬豆包,23
66,3494374950308320,写意胜行,舰长,119,恬豆包,23
67,247305905,爱吃肉的小白老师,舰长,119,恬豆包,23
68,241007,虚煌星,舰长,119,恬豆包,23
69,21770450,superMac_,舰长,119,恬豆包,23
70,13583559,尼耶什格_川子,舰长,119,恬豆包,23
71,12692409,老板断气老板尸体铅钢,舰长,119,恬豆包,23
72,10633758,默默陌摸鱼,舰长,119,恬豆包,23
73,24608573,恬怡弄人,舰长,85,恬豆包,22
74,111580180,月光鹿角,舰长,55,恬豆包,22
75,5850658,rofflecake,舰长,58,恬豆包,22
