rank,uid,username,type,accompany,medal_name,medal_level
1,3546692863396694,早睡早起1855,总督,245,恬豆包,30
2,385944,宝宝喝点水吧,提督,369,恬豆包,29
3,149522,sed-i,提督,540,恬豆包,29
4,319263289,神棍老师麦迪武,提督,210,恬豆包,28
5,7833154,nothing-iwnl-,提督,780,恬豆包,28
6,12071021,纯良小羊,提督,588,恬豆包,28
7,96000322,爱吃小绿龟的恬豆包,提督,791,恬豆包,28
8,2482872,财前葵,提督,450,恬豆包,28
9,79614621,悲山秋雨落,提督,130,恬豆包,28
10,31798725,牛之七,提督,60,恬豆包,28
11,400702,月神二号,提督,609,恬豆包,27
12,30502624,爱喝奶茶的发面馒头,提督,223,恬豆包,27
13,69190175,小梦-逝去的青春,提督,58,恬豆包,27
14,12613525,矮摇摊,提督,90,恬豆包,27
15,97097355,大夢惊鸿,提督,387,恬豆包,26
16,57116,郭德纲,提督,205,恬豆包,26
17,264495479,逗逗阿丶,提督,210,恬豆包,26
18,234549409,左边雨右边鱼,提督,20,恬豆包,25
19,47734615,士多啤栗少吃俊,提督,55,恬豆包,25
20,11467904,卷毛狒狒_Official,提督,138,恬豆包,25
21,14605877,jasonlai1004,提督,28,恬豆包,25
22,36269533,君ゆゆゆ魚,提督,34,恬豆包,25
23,174565,李寶根,提督,10,恬豆包,25
24,495672142,豆姨腹子,舰长,540,恬豆包,30
25,13423628,可是我是个荔枝啊,舰长,495,恬豆包,30
26,2314835,KugimiyaNanase,舰长,570,恬豆包,29
27,225883915,飘啊飘啊飘啊飘_,舰长,696,恬豆包,29
28,2966435,叙星晨,舰长,660,恬豆包,28
29,224670,毛玉喵,舰长,510,恬豆包,28
30,411146226,豆请给我一斤糖炒栗子,舰长,600,恬豆包,28
31,1686289594,丸梨普贝当,舰长,939,恬豆包,28
32,378823,不染葵,舰长,253,恬豆包,28
33,39140611,海蓝丶胜者悲歌,舰长,373,恬豆包,27
34,431956406,我的颜栗只有你,舰长,390,恬豆包,27
35,119941508,抽象小豆,舰长,240,恬豆包,27
36,59955258,这个昵称已经有鬼用过了,舰长,270,恬豆包,27
37,19393266,一颗太阳星r,舰长,420,恬豆包,27
38,26892910,大于3个小于30个字符,舰长,1065,恬豆包,27
39,124003269,曲婉的小跟班,舰长,353,恬豆包,27
40,3499113,-谢谢你泰罗,舰长,330,恬豆包,27
41,39088057,ZZzzzKk_,舰长,180,恬豆包,27
42,43667411,蒼のエーテル,舰长,540,恬豆包,27
43,32438573,自爆前的沙鲁,舰长,449,恬豆包,27
44,4464599,天曦,舰长,497,恬豆包,27
45,408030089,流明的雨,舰长,208,恬豆包,27
46,340809,玛修基列萊特,舰长,413,恬豆包,27
47,93214,o秋-知弦o,舰长,121,恬豆包,27
48,28640116,我永远喜欢恬豆,舰长,480,恬豆包,27
49,491121103,绯桂大好き,舰长,376,恬豆包,26
50,102748146,我要发动我的技能,舰长,449,恬豆包,26
