rank,uid,username,type,accompany,medal_name,medal_level
1,3546692863396694,早睡早起1855,提督,142,恬豆包,28
2,222641849,VJOKERZJX,舰长,740,恬豆包,30
3,1302082741,粗鲁卑鄙,舰长,689,恬豆包,29
4,225883915,飘啊飘啊飘啊飘_,舰长,593,恬豆包,29
5,19977954,泠泠七弦上え,舰长,602,恬豆包,29
6,477273649,盐奶盖冷萃加氮,舰长,962,恬豆包,28
7,149522,sed-i,舰长,485,恬豆包,28
8,385944,宝宝喝点水吧,舰长,266,恬豆包,28
9,2966435,叙星晨,舰长,629,恬豆包,28
10,12071021,纯良小羊,舰长,485,恬豆包,28
11,4631465,禧浴搓澡巾,舰长,356,恬豆包,28
12,1686289594,丸梨普贝当,舰长,836,恬豆包,27
13,378823,アンタレス,舰长,241,恬豆包,27
14,8573986,氕氘氚丿丿l丿ll,舰长,212,恬豆包,27
15,39140611,海蓝丶胜者悲歌,舰长,270,恬豆包,27
16,431956406,我的颜栗只有你,舰长,360,恬豆包,27
17,26892910,大于3个小于30个字符,舰长,962,恬豆包,27
18,3499113,-谢谢你泰罗,舰长,299,恬豆包,27
19,7208836,幕兮丶破防版,舰长,101,恬豆包,27
20,4464599,天曦,舰长,394,恬豆包,27
21,400702,月神二号,舰长,506,恬豆包,27
22,96635934,流泪人吾皇,舰长,966,恬豆包,27
23,22317289,逐迹寻星,舰长,210,恬豆包,26
24,102748146,我要发动我的技能,舰长,414,恬豆包,26
25,32933365,bekkibekkibe,舰长,525,恬豆包,26
26,6665522,辣牛奶不吃辣,舰长,972,恬豆包,26
27,408030089,流明的雨,舰长,157,恬豆包,26
28,93214,o秋-知弦o,舰长,112,恬豆包,26
29,1580640,劝你纯良,舰长,467,恬豆包,26
30,143241,铝和灰烬,舰长,293,恬豆包,26
31,151082,暴躁的妹唄唄,舰长,762,恬豆包,26
32,8350414,情深不予人知,舰长,238,恬豆包,26
33,6052395,知非晓默,舰长,356,恬豆包,26
34,215156666,全点防御高咲侑,舰长,269,恬豆包,26
35,10826177,瑜木踢西瓜,舰长,928,恬豆包,26
36,90938464,永远的鸟厨烈焰使,舰长,463,恬豆包,26
37,30502624,爱喝奶茶的发面馒头,舰长,120,恬豆包,26
38,22020361,中怡栗栗子,舰长,359,恬豆包,26
39,47943455,恬豆加油,舰长,189,恬豆包,26
40,67912862,一一_100,舰长,887,恬豆包,26
41,97097355,大夢惊鸿,舰长,351,恬豆包,26
42,4429890,徐佳莹丶LaLa,舰长,429,恬豆包,26
43,143641,御意見無用-,舰长,180,恬豆包,26
44,1452847184,迟到且早退的KING,舰长,463,恬豆包,26
45,2106805,SPYNGELION,舰长,647,恬豆包,26
46,381373415,豆奶为你痴,舰长,147,恬豆包,26
47,404140110,奈尔露菲雅,舰长,463,恬豆包,26
48,177936092,幼稚占领高地,舰长,210,恬豆包,26
49,71993,月颗千,舰长,392,恬豆包,25
50,59379500,灬亲亲握握灬,舰长,588,恬豆包,25
51,13637836,A-B-C-K,舰长,304,恬豆包,25
52,2941287,诊单陪沐宝吃队友米线,舰长,149,恬豆包,25
53,9970815,-古原-,舰长,148,恬豆包,25
54,1337100,竹林十五郎,舰长,119,恬豆包,25
55,29294353,zorro853,舰长,492,恬豆包,25
56,641276,世杰,舰长,463,恬豆包,25
57,63037,ナリタタイシン,舰长,463,恬豆包,25
58,20270543,Rayarq,舰长,463,恬豆包,25
59,7556692,举年i,舰长,463,恬豆包,25
60,20555867,riru_Kazumi,舰长,302,恬豆包,25
61,2450291,风涛不记苏,舰长,230,恬豆包,25
62,32166499,一般小豆,舰长,150,恬豆包,25
63,307315372,给我一拳2102,舰长,299,恬豆包,25
64,95720504,凌風喵,舰长,325,恬豆包,25
65,4104624,天才美少女恬豆,舰长,342,恬豆包,25
66,235455359,玉光剑气张遥星,舰长,302,恬豆包,25
67,36262485,普通小雨点,舰长,319,恬豆包,25
68,14689199,VentusJeff,舰长,212,恬豆包,25
69,364109862,O那霜O,舰长,299,恬豆包,24
70,7105978,savemekill,舰长,269,恬豆包,24
71,35201973,森林图书馆,舰长,149,恬豆包,24
72,354147456,歼世咩咩子_zZ,舰长,101,恬豆包,24
73,1692126,蓝白Mercury,舰长,211,恬豆包,24
74,6068627,奶♂皮,舰长,222,恬豆包,24
75,15103104,影子和重写本,舰长,119,恬豆包,24
76,110375756,Einherjar,舰长,127,恬豆包,24
