rank,uid,username,type,accompany,medal_name,medal_level
1,222641849,VJOKERZJX,提督,731,恬豆包,30
2,3546692863396694,早睡早起1855,提督,133,恬豆包,28
3,7208836,幕幕幕幕幕兮丶,提督,92,恬豆包,27
4,2314835,KugimiyaNanase,舰长,533,恬豆包,29
5,1302082741,粗鲁卑鄙,舰长,680,恬豆包,29
6,225883915,飘啊飘啊飘啊飘_,舰长,584,恬豆包,29
7,19977954,泠泠七弦上え,舰长,593,恬豆包,29
8,477273649,盐奶盖冷萃加氮,舰长,953,恬豆包,28
9,319263289,神棍老师麦迪武,舰长,179,恬豆包,28
10,7833154,nothing-iwnl-,舰长,745,恬豆包,28
11,149522,sed-i,舰长,476,恬豆包,28
12,385944,宝宝喝点水吧,舰长,257,恬豆包,28
13,2966435,叙星晨,舰长,620,恬豆包,28
14,12071021,纯良小羊,舰长,476,恬豆包,28
15,224670,毛玉喵,舰长,478,恬豆包,28
16,411146226,豆请给我一斤糖炒栗子,舰长,566,恬豆包,28
17,4631465,禧浴搓澡巾,舰长,347,恬豆包,28
18,1686289594,丸梨普贝当,舰长,827,恬豆包,27
19,378823,不染葵,舰长,232,恬豆包,27
20,8573986,氕氘氚丿丿l丿ll,舰长,203,恬豆包,27
21,39140611,海蓝丶胜者悲歌,舰长,261,恬豆包,27
22,431956406,我的颜栗只有你,舰长,351,恬豆包,27
23,2794950,梦怡少年,舰长,355,恬豆包,27
24,26892910,大于3个小于30个字符,舰长,953,恬豆包,27
25,3499113,-谢谢你泰罗,舰长,290,恬豆包,27
26,4464599,天曦,舰长,385,恬豆包,27
27,400702,月神二号,舰长,497,恬豆包,27
28,44996524,吃土豆的木匠,舰长,233,恬豆包,27
29,22317289,逐迹寻星,舰长,201,恬豆包,26
30,96635934,流泪人吾皇,舰长,957,恬豆包,26
31,102748146,我要发动我的技能,舰长,405,恬豆包,26
32,32933365,bekkibekkibe,舰长,516,恬豆包,26
33,6665522,辣牛奶不吃辣,舰长,963,恬豆包,26
34,66069738,叶青从小就很聪明,舰长,331,恬豆包,26
35,491121103,绯桂大好き,舰长,344,恬豆包,26
36,408030089,流明的雨,舰长,148,恬豆包,26
37,93214,o秋-知弦o,舰长,103,恬豆包,26
38,1580640,劝你纯良,舰长,458,恬豆包,26
39,143241,铝和灰烬,舰长,284,恬豆包,26
40,151082,暴躁的妹唄唄,舰长,753,恬豆包,26
41,5114175,桔子棉花糖orange,舰长,473,恬豆包,26
42,8350414,智能成长型冤种,舰长,229,恬豆包,26
43,6052395,知非晓默,舰长,347,恬豆包,26
44,215156666,全点防御高咲侑,舰长,260,恬豆包,26
45,10826177,瑜木踢西瓜,舰长,919,恬豆包,26
46,90938464,永远的鸟厨烈焰使,舰长,454,恬豆包,26
47,30502624,爱喝奶茶的发面馒头,舰长,111,恬豆包,26
48,22020361,单推扇宝的兜兜栗,舰长,350,恬豆包,26
49,67912862,一一_100,舰长,878,恬豆包,26
50,391389,画汝于心,舰长,474,恬豆包,26
51,97097355,大夢惊鸿,舰长,342,恬豆包,26
52,47943455,恬豆加油,舰长,180,恬豆包,26
53,4429890,徐佳莹丶LaLa,舰长,420,恬豆包,26
54,613077,唐炒豆栗,舰长,240,恬豆包,26
55,11428354,HerrFichte,舰长,687,恬豆包,26
56,143641,御意見無用-,舰长,171,恬豆包,26
57,1452847184,迟到且早退的KING,舰长,454,恬豆包,26
58,5202028,adventatyou,舰长,118,恬豆包,26
59,2106805,SPYNGELION,舰长,638,恬豆包,26
60,381373415,豆奶为你痴,舰长,138,恬豆包,26
61,404140110,奈尔露菲雅,舰长,454,恬豆包,26
62,177936092,幼稚占领高地,舰长,201,恬豆包,26
63,100545100,木有云Q,舰长,205,恬豆包,26
64,94116608,Pinkpool,舰长,89,恬豆包,25
