rank,uid,username,type,accompany,medal_name,medal_level
1,3546692863396694,早睡早起1855,提督,145,恬豆包,28
2,222641849,VJOKERZJX,舰长,743,恬豆包,30
3,225883915,飘啊飘啊飘啊飘_,舰长,596,恬豆包,29
4,19977954,泠泠七弦上え,舰长,605,恬豆包,29
5,477273649,盐奶盖冷萃加氮,舰长,965,恬豆包,28
6,149522,sed-i,舰长,488,恬豆包,28
7,385944,宝宝喝点水吧,舰长,269,恬豆包,28
8,12071021,纯良小羊,舰长,488,恬豆包,28
9,4631465,禧浴搓澡巾,舰长,359,恬豆包,28
10,1686289594,丸梨普贝当,舰长,839,恬豆包,27
11,8573986,氕氘氚丿丿l丿ll,舰长,215,恬豆包,27
12,39140611,海蓝丶胜者悲歌,舰长,273,恬豆包,27
13,26892910,大于3个小于30个字符,舰长,965,恬豆包,27
14,7208836,幕兮丶破防版,舰长,104,恬豆包,27
15,4464599,天曦,舰长,397,恬豆包,27
16,400702,月神二号,舰长,509,恬豆包,27
17,96635934,流泪人吾皇,舰长,969,恬豆包,27
18,102748146,我要发动我的技能,舰长,417,恬豆包,26
19,32933365,bekkibekkibe,舰长,528,恬豆包,26
20,6665522,辣牛奶不吃辣,舰长,975,恬豆包,26
21,408030089,流明的雨,舰长,160,恬豆包,26
22,93214,o秋-知弦o,舰长,115,恬豆包,26
23,1580640,劝你纯良,舰长,470,恬豆包,26
24,143241,铝和灰烬,舰长,296,恬豆包,26
25,151082,暴躁的妹唄唄,舰长,765,恬豆包,26
26,8350414,情深不予人知,舰长,241,恬豆包,26
27,6052395,知非晓默,舰长,359,恬豆包,26
28,215156666,全点防御高咲侑,舰长,272,恬豆包,26
29,10826177,瑜木踢西瓜,舰长,931,恬豆包,26
30,22020361,中怡栗栗子,舰长,362,恬豆包,26
31,30502624,爱喝奶茶的发面馒头,舰长,123,恬豆包,26
32,90938464,永远的鸟厨烈焰使,舰长,466,恬豆包,26
33,47943455,恬豆加油,舰长,192,恬豆包,26
34,67912862,一一_100,舰长,890,恬豆包,26
35,97097355,大夢惊鸿,舰长,354,恬豆包,26
36,4429890,徐佳莹丶LaLa,舰长,432,恬豆包,26
37,143641,御意見無用-,舰长,183,恬豆包,26
38,1452847184,迟到且早退的KING,舰长,466,恬豆包,26
39,2106805,SPYNGELION,舰长,650,恬豆包,26
40,381373415,豆奶为你痴,舰长,150,恬豆包,26
41,404140110,奈尔露菲雅,舰长,466,恬豆包,26
42,71993,月颗千,舰长,395,恬豆包,25
43,59379500,灬亲亲握握灬,舰长,591,恬豆包,25
44,13637836,A-B-C-K,舰长,307,恬豆包,25
45,9970815,-古原-,舰长,151,恬豆包,25
46,29294353,zorro853,舰长,495,恬豆包,25
47,641276,世杰,舰长,466,恬豆包,25
48,63037,ナリタタイシン,舰长,466,恬豆包,25
49,20270543,Rayarq,舰长,466,恬豆包,25
50,7556692,举年i,舰长,466,恬豆包,25
51,20555867,riru_Kazumi,舰长,305,恬豆包,25
52,2450291,风涛不记苏,舰长,233,恬豆包,25
