rank,uid,username,type,accompany,medal_name,medal_level
1,222641849,VJOKERZJX,提督,737,恬豆包,30
2,3546692863396694,早睡早起1855,提督,139,恬豆包,28
3,7208836,幕兮丶冷暴力受害者,提督,98,恬豆包,27
4,2314835,KugimiyaNanase,舰长,539,恬豆包,29
5,1302082741,粗鲁卑鄙,舰长,686,恬豆包,29
6,225883915,飘啊飘啊飘啊飘_,舰长,590,恬豆包,29
7,19977954,泠泠七弦上え,舰长,599,恬豆包,29
8,477273649,盐奶盖冷萃加氮,舰长,959,恬豆包,28
9,7833154,nothing-iwnl-,舰长,751,恬豆包,28
10,149522,sed-i,舰长,482,恬豆包,28
11,385944,宝宝喝点水吧,舰长,263,恬豆包,28
12,2966435,叙星晨,舰长,626,恬豆包,28
13,12071021,纯良小羊,舰长,482,恬豆包,28
14,4631465,禧浴搓澡巾,舰长,353,恬豆包,28
15,1686289594,丸梨普贝当,舰长,833,恬豆包,27
16,378823,不染葵,舰长,238,恬豆包,27
17,8573986,氕氘氚丿丿l丿ll,舰长,209,恬豆包,27
18,39140611,海蓝丶胜者悲歌,舰长,267,恬豆包,27
19,431956406,我的颜栗只有你,舰长,357,恬豆包,27
20,2794950,梦怡少年,舰长,361,恬豆包,27
21,26892910,大于3个小于30个字符,舰长,959,恬豆包,27
22,3499113,-谢谢你泰罗,舰长,296,恬豆包,27
23,4464599,天曦,舰长,391,恬豆包,27
24,400702,月神二号,舰长,503,恬豆包,27
25,44996524,吃土豆的木匠,舰长,239,恬豆包,27
26,96635934,流泪人吾皇,舰长,963,恬豆包,27
27,22317289,逐迹寻星,舰长,207,恬豆包,26
28,102748146,我要发动我的技能,舰长,411,恬豆包,26
29,32933365,bekkibekkibe,舰长,522,恬豆包,26
30,6665522,辣牛奶不吃辣,舰长,969,恬豆包,26
31,408030089,流明的雨,舰长,154,恬豆包,26
32,93214,o秋-知弦o,舰长,109,恬豆包,26
33,1580640,劝你纯良,舰长,464,恬豆包,26
34,143241,铝和灰烬,舰长,290,恬豆包,26
35,151082,暴躁的妹唄唄,舰长,759,恬豆包,26
36,5114175,懒癌晚期患者怡酱,舰长,479,恬豆包,26
37,8350414,深情不予人知,舰长,235,恬豆包,26
38,6052395,知非晓默,舰长,353,恬豆包,26
39,215156666,全点防御高咲侑,舰长,266,恬豆包,26
40,10826177,瑜木踢西瓜,舰长,925,恬豆包,26
41,90938464,永远的鸟厨烈焰使,舰长,460,恬豆包,26
42,30502624,爱喝奶茶的发面馒头,舰长,117,恬豆包,26
43,22020361,中怡栗栗子,舰长,356,恬豆包,26
44,47943455,恬豆加油,舰长,186,恬豆包,26
45,67912862,一一_100,舰长,884,恬豆包,26
46,391389,画汝于心,舰长,480,恬豆包,26
47,97097355,大夢惊鸿,舰长,348,恬豆包,26
48,4429890,徐佳莹丶LaLa,舰长,426,恬豆包,26
49,143641,御意見無用-,舰长,177,恬豆包,26
50,1452847184,迟到且早退的KING,舰长,460,恬豆包,26
51,2106805,SPYNGELION,舰长,644,恬豆包,26
52,381373415,豆奶为你痴,舰长,144,恬豆包,26
53,404140110,奈尔露菲雅,舰长,460,恬豆包,26
54,177936092,幼稚占领高地,舰长,207,恬豆包,26
55,100545100,木有云Q,舰长,211,恬豆包,26
56,59379500,灬亲亲握握灬,舰长,585,恬豆包,25
57,71993,月颗千,舰长,389,恬豆包,25
58,13637836,A-B-C-K,舰长,301,恬豆包,25
59,2941287,诊单陪沐宝吃队友米线,舰长,146,恬豆包,25
60,9970815,-古原-,舰长,145,恬豆包,25
61,1337100,竹林十五郎,舰长,116,恬豆包,25
62,29294353,zorro853,舰长,489,恬豆包,25
63,641276,世杰,舰长,460,恬豆包,25
64,63037,ナリタタイシン,舰长,460,恬豆包,25
65,96115,奶酪大统领,舰长,450,恬豆包,25
66,20270543,Rayarq,舰长,460,恬豆包,25
67,7556692,举年i,舰长,460,恬豆包,25
68,2450291,风涛不记苏,舰长,227,恬豆包,25
69,20555867,riru_Kazumi,舰长,299,恬豆包,25
70,32166499,一般小豆,舰长,147,恬豆包,25
71,307315372,给我一拳2102,舰长,296,恬豆包,25
72,95720504,凌風喵,舰长,322,恬豆包,25
73,4104624,天才美少女恬豆,舰长,339,恬豆包,25
74,36262485,普通小雨点,舰长,316,恬豆包,25
75,235455359,玉光剑气张遥星,舰长,299,恬豆包,25
76,364109862,O那霜O,舰长,296,恬豆包,24
77,14689199,VentusJeff,舰长,209,恬豆包,24
78,6779748,情怀耍蛇,舰长,301,恬豆包,24
79,7105978,savemekill,舰长,266,恬豆包,24
80,35201973,森林图书馆,舰长,146,恬豆包,24
81,354147456,歼世咩咩子_zZ,舰长,98,恬豆包,24
82,291137990,VarDec障碍,舰长,179,恬豆包,24
83,1692126,蓝白Mercury,舰长,208,恬豆包,24
84,6068627,奶♂皮,舰长,219,恬豆包,24
85,175548676,鸽子和鸭子,舰长,239,恬豆包,24
86,480206945,现役肥宅元宝,舰长,119,恬豆包,24
87,15103104,影子和重写本,舰长,116,恬豆包,24
88,26581072,船上打更,舰长,119,恬豆包,24
89,110375756,Einherjar,舰长,124,恬豆包,24
90,28204958,权是她,舰长,158,恬豆包,24
91,362261834,飞鸟十二世,舰长,179,恬豆包,24
92,85918367,銘刻時間の歌,舰长,146,恬豆包,24
93,11432473,Numstail,舰长,116,恬豆包,24
94,201450098,唱着歌弹着斑鸠,舰长,60,恬豆包,24
95,26085097,新萪娘,舰长,146,恬豆包,24
96,12939423,樱花ling,舰长,146,恬豆包,24
97,104867,鸢尾兰Grey,舰长,143,恬豆包,23
98,267626300,210丶,舰长,119,恬豆包,23
99,515341,麻雀团子,舰长,146,恬豆包,23
100,320197,利可Rico,舰长,146,恬豆包,23
101,25137085,Jaime2Lannister,舰长,124,恬豆包,23
102,2099894066,-YXLXY-,舰长,89,恬豆包,23
103,34011514,木可走首,舰长,116,恬豆包,23
104,8207824,地球OL国服第一混,舰长,61,恬豆包,23
105,397798424,醒云-,舰长,115,恬豆包,23
106,2829163,月谙离别苦,舰长,116,恬豆包,23
107,76787436,咫尺天涯间99,舰长,116,恬豆包,23
108,24164393,趴趴柒丶,舰长,112,恬豆包,23
109,37187114,吹萨克斯的精灵,舰长,119,恬豆包,23
110,24897876,折木奉太る,舰长,119,恬豆包,23
111,40816573,乌丸莲耶孙女乌安莲娜,舰长,25,恬豆包,23
112,211946101,戛纳大影帝,舰长,89,恬豆包,23
113,13411047,叁三俩两,舰长,98,恬豆包,23
114,28041765,最初的乐章,舰长,89,恬豆包,23
115,80913405,主打严谨的阿紫,舰长,119,恬豆包,23
116,7351143,悠玖玥゛,舰长,119,恬豆包,23
117,1283974,痛覺殘留XD,舰长,119,恬豆包,23
118,8310193,酒为剑歌,舰长,116,恬豆包,23
119,23743505,龟速灬船长,舰长,98,恬豆包,23
120,92968911,缓靖,舰长,116,恬豆包,23
121,108414946,Rhapsody_狂想,舰长,99,恬豆包,23
122,6609157,吾辈是柳絮,舰长,98,恬豆包,23
123,598714297,-一滩猫-,舰长,119,恬豆包,23
124,52709855,须弥感,舰长,98,恬豆包,23
125,5164976,にしきごい-,舰长,98,恬豆包,23
126,3546582301542999,烁焰512,舰长,98,恬豆包,23
127,299179629,iqbssbqi88,舰长,98,恬豆包,23
128,274884696,綾地_宁宁厨,舰长,98,恬豆包,23
129,227076817,晚餐加碗饭,舰长,119,恬豆包,23
130,1972389896,bili_45792247048,舰长,98,恬豆包,23
131,1812861161,bili_21880802220,舰长,98,恬豆包,23
132,16628567,愿圣光会忽悠你,舰长,116,恬豆包,23
133,161225119,花语凝夜,舰长,98,恬豆包,23
134,12586930,立体角w,舰长,97,恬豆包,23
135,123281107,Yukinoa结城希亚的喵,舰长,119,恬豆包,23
136,11621965,沐渍唐,舰长,119,恬豆包,23
137,1150609275,金鱼大仙Studio,舰长,119,恬豆包,23
138,22392551,MurphyHolmes,舰长,89,恬豆包,23
139,10724814,被禁之棺,舰长,111,恬豆包,23
140,290893127,福禄王权,舰长,89,恬豆包,23
141,13066685,风逝reuxd,舰长,89,恬豆包,23
142,203653982,糖炒恬荔,舰长,89,恬豆包,23
