rank,uid,username,type,accompany,medal_name,medal_level
1,5850658,rofflecake,总督,140,恬豆包,29
2,495672142,豆奶粉头,提督,590,恬豆包,31
3,3546692863396694,顺顺栗栗1855,提督,295,恬豆包,30
4,2314835,KugimiyaNanase,提督,619,恬豆包,29
5,31798725,牛之七,提督,110,恬豆包,28
6,79614621,悲山秋雨落,提督,180,恬豆包,28
7,30502624,爱喝奶茶的发面馒头,提督,273,恬豆包,28
8,2941287,诊单,提督,229,恬豆包,28
9,2794950,梦怡少年,提督,390,恬豆包,27
10,49855368,想起恐怖的事,提督,98,恬豆包,27
11,57134664,唯怡豆女乃,提督,170,恬豆包,27
12,36269533,君ゆゆゆ魚,提督,84,恬豆包,26
13,52126672,zara447,提督,167,恬豆包,26
14,356892,阿斯特赖亚丶,提督,70,恬豆包,26
15,5607033,睡觉是爱好吃饭是特长,提督,80,恬豆包,26
16,231051,蕾恩・玛格特洛依德,提督,140,恬豆包,25
17,7340111,栁長街,提督,51,恬豆包,25
18,13927696,Marriovo,提督,73,恬豆包,25
19,149522,sed-i,舰长,590,恬豆包,29
20,385944,宝宝喝点水吧,舰长,419,恬豆包,29
21,12071021,纯良小羊,舰长,638,恬豆包,29
22,7833154,nothing-iwnl-,舰长,830,恬豆包,28
23,2482872,财前葵,舰长,499,恬豆包,28
24,2966435,叙星晨,舰长,710,恬豆包,28
25,411146226,豆请给我一斤糖炒栗子,舰长,649,恬豆包,28
26,400702,月神二号,舰长,659,恬豆包,28
27,39140611,海蓝丶胜者悲歌,舰长,423,恬豆包,28
28,378823,不染葵,舰长,297,恬豆包,28
29,1686289594,丸梨普贝当,舰长,989,恬豆包,28
30,431956406,我的颜栗只有你,舰长,440,恬豆包,27
31,124003269,曲婉的小跟班,舰长,403,恬豆包,27
32,59955258,这个昵称已经有鬼用过了,舰长,313,恬豆包,27
33,26892910,大于3个小于30个字符,舰长,1115,恬豆包,27
34,43667411,蒼のエーテル,舰长,572,恬豆包,27
35,491121103,绯桂大好き,舰长,426,恬豆包,27
36,32438573,自爆前的沙鲁,舰长,494,恬豆包,27
37,4464599,天曦,舰长,547,恬豆包,27
38,38600609,二月暨望,舰长,243,恬豆包,27
39,97097355,大夢惊鸿,舰长,431,恬豆包,27
40,57116,郭德纲,舰长,254,恬豆包,27
41,102748146,我要发动我的技能,舰长,492,恬豆包,27
42,613077,唐炒豆栗,舰长,289,恬豆包,27
