rank,uid,username,type,accompany,medal_name,medal_level
1,495672142,豆奶粉馒头,总督,574,恬豆包,31
2,3546692863396694,顺顺栗栗1855,提督,279,恬豆包,30
3,2314835,KugimiyaNanase,提督,603,恬豆包,29
4,149522,sed-i,提督,574,恬豆包,29
5,12071021,纯良小羊,提督,622,恬豆包,29
6,31798725,牛之七,提督,94,恬豆包,28
7,79614621,悲山秋雨落,提督,164,恬豆包,28
8,411146226,豆请给我一斤糖炒栗子,提督,633,恬豆包,28
9,30502624,爱喝奶茶的发面馒头,提督,257,恬豆包,28
10,2794950,梦怡少年,提督,374,恬豆包,27
11,2941287,问问拿哪张医院预诊单,提督,213,恬豆包,27
12,491121103,绯桂大好き,提督,410,恬豆包,27
13,5850658,rofflecake,提督,124,恬豆包,27
14,49855368,想起恐怖的事,提督,82,恬豆包,27
15,36269533,君ゆゆゆ魚,提督,68,恬豆包,26
16,52126672,zara447,提督,151,恬豆包,26
17,356892,阿斯特赖亚丶,提督,54,恬豆包,26
18,5607033,睡觉是爱好吃饭是特长,提督,64,恬豆包,25
19,231051,蕾恩・玛格特洛依德,提督,124,恬豆包,25
20,12205426,千稻草,提督,23,恬豆包,25
21,13927696,Marriovo,提督,57,恬豆包,25
22,150434129,桓殳,提督,45,恬豆包,25
23,1302082741,粗鲁卑鄙,舰长,713,恬豆包,29
24,385944,宝宝喝点水吧,舰长,403,恬豆包,29
25,319263289,神棍老师麦迪武,舰长,237,恬豆包,29
26,7833154,nothing-iwnl-,舰长,814,恬豆包,28
27,2482872,财前葵,舰长,483,恬豆包,28
28,2058228,冰尾青年事件簿,舰长,143,恬豆包,28
29,2966435,叙星晨,舰长,694,恬豆包,28
30,400702,月神二号,舰长,643,恬豆包,28
31,378823,不染葵,舰长,281,恬豆包,28
32,1686289594,丸梨普贝当,舰长,973,恬豆包,28
33,39140611,海蓝丶胜者悲歌,舰长,407,恬豆包,28
34,431956406,我的颜栗只有你,舰长,424,恬豆包,27
35,124003269,曲婉的小跟班,舰长,387,恬豆包,27
36,26892910,大于3个小于30个字符,舰长,1099,恬豆包,27
37,43667411,蒼のエーテル,舰长,557,恬豆包,27
38,32438573,自爆前的沙鲁,舰长,478,恬豆包,27
39,4464599,天曦,舰长,531,恬豆包,27
40,97097355,大夢惊鸿,舰长,421,恬豆包,27
