rank,uid,username,type,accompany,medal_name,medal_level
1,222641849,VJOKERZJX,提督,700,恬豆包,30
2,2314835,KugimiyaNanase,提督,502,恬豆包,29
3,7833154,nothing-iwnl-,提督,714,恬豆包,28
4,3546692863396694,早睡早起1855,提督,102,恬豆包,28
5,149522,sed-i,提督,445,恬豆包,28
6,7208836,恬豆能播到什么时候呢,提督,61,恬豆包,27
7,495672142,说的豆理_爱要坦荡荡,舰长,486,恬豆包,30
8,1302082741,粗鲁卑鄙,舰长,649,恬豆包,29
9,225883915,飘啊飘啊飘啊飘_,舰长,553,恬豆包,29
10,19977954,泠泠七弦上え,舰长,562,恬豆包,29
11,477273649,盐奶盖冷萃加氮,舰长,922,恬豆包,28
12,82978697,新学的单词,舰长,181,恬豆包,28
13,12017603,郑人云绒,舰长,211,恬豆包,28
14,96000322,爱吃小绿龟的恬豆包,舰长,781,恬豆包,28
15,2966435,叙星晨,舰长,597,恬豆包,28
16,385944,宝宝喝点水吧,舰长,226,恬豆包,28
17,224670,毛玉喵,舰长,447,恬豆包,28
18,12071021,纯良小羊,舰长,445,恬豆包,28
19,411146226,豆请给我一斤糖炒栗子,舰长,537,恬豆包,28
20,2372997,想上大舞台,舰长,451,恬豆包,28
21,1686289594,丸梨普贝当,舰长,796,恬豆包,27
22,4631465,禧浴搓澡巾,舰长,316,恬豆包,27
23,378823,不染葵,舰长,201,恬豆包,27
24,8573986,氕氘氚丿丿l丿ll,舰长,172,恬豆包,27
25,39140611,海蓝丶胜者悲歌,舰长,230,恬豆包,27
26,2482872,财前葵,舰长,402,恬豆包,27
27,431956406,终于接小女友回家啦,舰长,320,恬豆包,27
28,2794950,梦怡少年,舰长,324,恬豆包,27
29,11509435,穹叶mmmmm,舰长,162,恬豆包,27
30,19393266,一颗太阳星r,舰长,372,恬豆包,27
31,26892910,大于3个小于30个字符,舰长,922,恬豆包,27
32,59955258,这个昵称已经有鬼用过了,舰长,233,恬豆包,27
33,1764797,暗核,舰长,612,恬豆包,27
34,3499113,-谢谢你泰罗,舰长,259,恬豆包,27
35,43667411,蒼のエーテル,舰长,492,恬豆包,27
36,403022512,567_Official,舰长,622,恬豆包,27
37,32438573,自爆前的沙鲁,舰长,402,恬豆包,27
38,4464599,天曦,舰长,354,恬豆包,27
39,28640116,我永远喜欢ちゅちゅ,舰长,422,恬豆包,27
40,44996524,吃土豆的木匠,舰长,202,恬豆包,27
41,22317289,逐迹寻星,舰长,170,恬豆包,26
42,96635934,流泪人吾皇,舰长,926,恬豆包,26
43,400702,月神二号,舰长,466,恬豆包,26
44,7033332,BusyTime,舰长,229,恬豆包,26
45,102748146,我要发动我的技能,舰长,374,恬豆包,26
46,32933365,bekkibekkibe,舰长,485,恬豆包,26
47,6665522,辣牛奶不吃辣,舰长,932,恬豆包,26
48,66069738,叶青从小就很聪明,舰长,300,恬豆包,26
49,12796481,绯色丶花,舰长,481,恬豆包,26
50,1580640,劝你纯良,舰长,427,恬豆包,26
51,93214,o秋-知弦o,舰长,72,恬豆包,26
52,151082,暴躁的妹唄唄,舰长,722,恬豆包,26
53,3647293,FunkyPant,舰长,292,恬豆包,26
54,491121103,绯桂大好き,舰长,313,恬豆包,26
55,5114175,桔子棉花糖orange,舰长,442,恬豆包,26
56,408030089,流明的雨,舰长,117,恬豆包,26
57,8350414,智能成长型冤种,舰长,198,恬豆包,26
58,28320190,想词嗷波波派,舰长,52,恬豆包,26
59,6052395,知非晓默,舰长,316,恬豆包,26
60,304172578,待我呆毛啵起,舰长,121,恬豆包,26
61,2481617,Koasa君,舰长,282,恬豆包,26
62,21734536,神奇的梦境,舰长,462,恬豆包,26
63,10826177,瑜木踢西瓜,舰长,888,恬豆包,26
64,215156666,全点防御高咲侑,舰长,229,恬豆包,26
65,21182500,爱吃恬豆包不爱吃汉堡,舰长,513,恬豆包,26
66,114686482,泳装趾压板跳绳,舰长,61,恬豆包,26
67,11028398,名字不重,舰长,24,恬豆包,26
68,19946819,巨大的荔枝,舰长,52,恬豆包,26
69,67912862,一一_100,舰长,847,恬豆包,26
70,871308,天生偶像陈恬豆,舰长,211,恬豆包,26
71,391389,画汝于心,舰长,443,恬豆包,26
72,22020361,单推扇宝的兜兜栗,舰长,322,恬豆包,26
73,90938464,永遠的鳥廚烈焰使,舰长,423,恬豆包,26
74,97097355,大夢惊鸿,舰长,311,恬豆包,26
75,890623,Karna,舰长,395,恬豆包,26
76,9061746,养不起的盖茨比,舰长,300,恬豆包,26
77,4429890,徐佳莹丶LaLa,舰长,389,恬豆包,26
78,47943455,恬豆加油,舰长,149,恬豆包,26
79,5024138,狮子神浩F,舰长,331,恬豆包,26
80,30502624,爱喝奶茶的发面馒头,舰长,80,恬豆包,26
81,613077,唐炒豆栗,舰长,209,恬豆包,26
82,26984312,格罗宁根的老汉,舰长,359,恬豆包,26
83,11428354,HerrFichte,舰长,656,恬豆包,26
84,143641,御意見無用-,舰长,140,恬豆包,26
85,5202028,adventatyou,舰长,87,恬豆包,26
86,1452847184,迟到且早退的KING,舰长,423,恬豆包,26
