rank,uid,username,type,accompany,medal_name,medal_level
1,222641849,VJOKERZJX,提督,715,恬豆包,30
2,2314835,KugimiyaNanase,提督,517,恬豆包,29
3,3546692863396694,早睡早起1855,提督,117,恬豆包,28
4,149522,sed-i,提督,460,恬豆包,28
5,7208836,幕幕幕幕幕兮丶,提督,76,恬豆包,27
6,495672142,说的豆理_豆奶龙最强,舰长,501,恬豆包,30
7,1302082741,粗鲁卑鄙,舰长,664,恬豆包,29
8,225883915,飘啊飘啊飘啊飘_,舰长,568,恬豆包,29
9,19977954,泠泠七弦上え,舰长,577,恬豆包,29
10,477273649,盐奶盖冷萃加氮,舰长,937,恬豆包,28
11,319263289,神棍老师麦迪武,舰长,163,恬豆包,28
12,7833154,nothing-iwnl-,舰长,729,恬豆包,28
13,385944,宝宝喝点水吧,舰长,241,恬豆包,28
14,2966435,叙星晨,舰长,604,恬豆包,28
15,12071021,纯良小羊,舰长,460,恬豆包,28
16,224670,毛玉喵,舰长,462,恬豆包,28
17,411146226,豆请给我一斤糖炒栗子,舰长,550,恬豆包,28
18,2372997,想上大舞台,舰长,466,恬豆包,28
19,4631465,禧浴搓澡巾,舰长,331,恬豆包,28
20,1686289594,丸梨普贝当,舰长,811,恬豆包,27
21,378823,不染葵,舰长,216,恬豆包,27
22,8573986,氕氘氚丿丿l丿ll,舰长,187,恬豆包,27
23,39140611,海蓝丶胜者悲歌,舰长,245,恬豆包,27
24,431956406,我的颜栗只有你,舰长,335,恬豆包,27
25,2482872,财前葵,舰长,417,恬豆包,27
26,2794950,梦怡少年,舰长,339,恬豆包,27
27,11509435,穹叶mmmmm,舰长,177,恬豆包,27
28,19393266,一颗太阳星r,舰长,387,恬豆包,27
29,26892910,大于3个小于30个字符,舰长,937,恬豆包,27
30,1764797,暗核,舰长,627,恬豆包,27
31,3499113,-谢谢你泰罗,舰长,274,恬豆包,27
32,43667411,蒼のエーテル,舰长,507,恬豆包,27
33,32438573,自爆前的沙鲁,舰长,417,恬豆包,27
34,4464599,天曦,舰长,369,恬豆包,27
35,400702,月神二号,舰长,481,恬豆包,27
36,44996524,吃土豆的木匠,舰长,217,恬豆包,27
37,28640116,我永远喜欢ちゅちゅ,舰长,437,恬豆包,27
38,22317289,逐迹寻星,舰长,185,恬豆包,26
39,96635934,流泪人吾皇,舰长,941,恬豆包,26
40,102748146,我要发动我的技能,舰长,389,恬豆包,26
41,66069738,叶青从小就很聪明,舰长,315,恬豆包,26
42,32933365,bekkibekkibe,舰长,500,恬豆包,26
43,6665522,辣牛奶不吃辣,舰长,947,恬豆包,26
44,491121103,绯桂大好き,舰长,328,恬豆包,26
45,408030089,流明的雨,舰长,132,恬豆包,26
46,12796481,绯色丶花,舰长,496,恬豆包,26
47,93214,o秋-知弦o,舰长,87,恬豆包,26
48,1580640,劝你纯良,舰长,442,恬豆包,26
49,151082,暴躁的妹唄唄,舰长,737,恬豆包,26
50,5114175,桔子棉花糖orange,舰长,457,恬豆包,26
51,8350414,智能成长型冤种,舰长,213,恬豆包,26
52,6052395,知非晓默,舰长,331,恬豆包,26
53,215156666,全点防御高咲侑,舰长,244,恬豆包,26
54,304172578,待我呆毛啵起,舰长,136,恬豆包,26
55,10826177,瑜木踢西瓜,舰长,903,恬豆包,26
56,114686482,泳装趾压板跳绳,舰长,76,恬豆包,26
57,2481617,Koasa君,舰长,297,恬豆包,26
58,21734536,神奇的梦境,舰长,477,恬豆包,26
59,21182500,爱吃恬豆包不爱吃汉堡,舰长,528,恬豆包,26
60,22020361,单推扇宝的兜兜栗,舰长,334,恬豆包,26
61,90938464,永远的鸟厨烈焰使,舰长,438,恬豆包,26
62,391389,画汝于心,舰长,458,恬豆包,26
63,30502624,爱喝奶茶的发面馒头,舰长,95,恬豆包,26
64,67912862,一一_100,舰长,862,恬豆包,26
65,47943455,恬豆加油,舰长,164,恬豆包,26
66,97097355,大夢惊鸿,舰长,326,恬豆包,26
67,4429890,徐佳莹丶LaLa,舰长,404,恬豆包,26
68,890623,Karna,舰长,410,恬豆包,26
69,613077,唐炒豆栗,舰长,224,恬豆包,26
70,11428354,HerrFichte,舰长,671,恬豆包,26
71,143641,御意見無用-,舰长,155,恬豆包,26
72,5202028,adventatyou,舰长,102,恬豆包,26
73,381373415,豆奶为你痴,舰长,122,恬豆包,26
74,1452847184,迟到且早退的KING,舰长,438,恬豆包,26
75,2106805,SPYNGELION,舰长,622,恬豆包,26
76,32283784,普通小随,舰长,228,恬豆包,26
77,177936092,幼稚占领高地,舰长,185,恬豆包,26
78,12613525,矮摇摊,舰长,57,恬豆包,26
79,404140110,奈尔露菲雅,舰长,438,恬豆包,26
80,15712025,秒我中子,舰长,147,恬豆包,26
81,100545100,木有云Q,舰长,189,恬豆包,26
82,94116608,Pinkpool,舰长,73,恬豆包,25
83,220332808,TaylorJhon,舰长,205,恬豆包,25
84,8734954,SpaceChaos,舰长,177,恬豆包,25
85,71993,月颗千,舰长,367,恬豆包,25
86,59379500,灬亲亲握握灬,舰长,563,恬豆包,25
87,691885237,狱卒小吏,舰长,80,恬豆包,25
88,428112437,腾讯招聘,舰长,115,恬豆包,25
89,9970815,-古原-,舰长,123,恬豆包,25
90,13637836,A-B-C-K,舰长,279,恬豆包,25
91,1337100,竹林十五郎,舰长,94,恬豆包,25
