rank,uid,username,type,accompany,medal_name,medal_level
1,3546692863396694,早睡早起1855,提督,192,恬豆包,28
2,225883915,飘啊飘啊飘啊飘_,舰长,643,恬豆包,29
3,477273649,盐奶盖冷萃加氮,舰长,1012,恬豆包,28
4,385944,宝宝喝点水吧,舰长,316,恬豆包,28
5,12071021,纯良小羊,舰长,535,恬豆包,28
6,1686289594,丸梨普贝当,舰长,886,恬豆包,28
7,39140611,海蓝丶胜者悲歌,舰长,320,恬豆包,27
8,26892910,大于3个小于30个字符,舰长,1012,恬豆包,27
9,4464599,天曦,舰长,444,恬豆包,27
10,400702,月神二号,舰长,556,恬豆包,27
11,96635934,流泪人吾皇,舰长,1016,恬豆包,27
12,151082,暴躁的妹唄唄,舰长,812,恬豆包,26
13,6052395,知非晓默,舰长,406,恬豆包,26
14,30502624,爱喝奶茶的发面馒头,舰长,170,恬豆包,26
15,47943455,恬豆加油,舰长,239,恬豆包,26
16,4429890,徐佳莹丶LaLa,舰长,479,恬豆包,26
17,2106805,SPYNGELION,舰长,697,恬豆包,26
18,404140110,奈尔露菲雅,舰长,513,恬豆包,26
19,59379500,灬亲亲握握灬,舰长,638,恬豆包,26
20,71993,月颗千,舰长,442,恬豆包,26
21,13637836,A-B-C-K,舰长,354,恬豆包,25
22,20270543,Rayarq,舰长,513,恬豆包,25
23,7556692,举年i,舰长,513,恬豆包,25
24,32166499,一般小豆,舰长,200,恬豆包,25
25,4104624,天才美少女恬豆,舰长,392,恬豆包,25
26,35201973,森林图书馆,舰长,199,恬豆包,25
27,110375756,Einherjar,舰长,177,恬豆包,24
28,76787436,咫尺天涯间99,舰长,169,恬豆包,24
29,211946101,戛纳大影帝,舰长,142,恬豆包,24
30,6609157,吾辈是柳絮,舰长,151,恬豆包,24
31,52709855,须弥感,舰长,151,恬豆包,24
32,5164976,にしきごい-,舰长,151,恬豆包,24
33,3546582301542999,烁焰512,舰长,151,恬豆包,24
34,299179629,iqbssbqi88,舰长,151,恬豆包,24
35,25137085,Jaime2Lannister,舰长,177,恬豆包,24
36,1972389896,bili_45792247048,舰长,151,恬豆包,24
37,11621965,沐渍唐,舰长,172,恬豆包,24
38,1150609275,金鱼大仙Studio,舰长,172,恬豆包,24
39,8207824,地球OL国服第一混,舰长,114,恬豆包,24
40,481118003,金鱼大鲸鱼,舰长,142,恬豆包,24
41,1669695555,あい秋天_,舰长,142,恬豆包,23
42,393319752,打豆豆haha,舰长,142,恬豆包,23
43,7906121,XDzz4,舰长,142,恬豆包,23
44,400791585,一个自律的石头,舰长,142,恬豆包,23
45,3546646537308935,小阿的守夜人,舰长,142,恬豆包,23
46,247305905,愛吃肉的小白,舰长,142,恬豆包,23
47,161225119,花语凝夜,舰长,151,恬豆包,23
48,13583559,尼耶什格_川子,舰长,142,恬豆包,23
49,12692409,老板断气老板尸体铅钢,舰长,142,恬豆包,23
