rank,uid,username,type,accompany,medal_name,medal_level
1,3546692863396694,早睡早起1855,提督,198,恬豆包,28
2,225883915,飘啊飘啊飘啊飘_,舰长,649,恬豆包,29
3,477273649,盐奶盖冷萃加氮,舰长,1018,恬豆包,28
4,385944,宝宝喝点水吧,舰长,322,恬豆包,28
5,12071021,纯良小羊,舰长,541,恬豆包,28
6,1686289594,丸梨普贝当,舰长,892,恬豆包,28
7,39140611,海蓝丶胜者悲歌,舰长,326,恬豆包,27
8,26892910,大于3个小于30个字符,舰长,1018,恬豆包,27
9,4464599,天曦,舰长,450,恬豆包,27
10,400702,月神二号,舰长,562,恬豆包,27
11,151082,暴躁的妹唄唄,舰长,818,恬豆包,26
12,6052395,知非晓默,舰长,412,恬豆包,26
13,30502624,爱喝奶茶的发面馒头,舰长,176,恬豆包,26
14,2106805,SPYNGELION,舰长,703,恬豆包,26
15,404140110,奈尔露菲雅,舰长,519,恬豆包,26
16,59379500,灬亲亲握握灬,舰长,644,恬豆包,26
17,71993,月颗千,舰长,448,恬豆包,26
18,13637836,A-B-C-K,舰长,360,恬豆包,25
19,20270543,Rayarq,舰长,519,恬豆包,25
20,7556692,举年i,舰长,519,恬豆包,25
21,32166499,一般小豆,舰长,206,恬豆包,25
22,4104624,天才美少女恬豆,舰长,398,恬豆包,25
23,35201973,森林图书馆,舰长,205,恬豆包,25
24,110375756,Einherjar,舰长,183,恬豆包,24
25,76787436,咫尺天涯间99,舰长,175,恬豆包,24
26,211946101,戛纳大影帝,舰长,148,恬豆包,24
27,6609157,吾辈是柳絮,舰长,157,恬豆包,24
28,52709855,须弥感,舰长,157,恬豆包,24
29,5164976,にしきごい-,舰长,157,恬豆包,24
30,3546582301542999,烁焰512,舰长,157,恬豆包,24
31,299179629,iqbssbqi88,舰长,157,恬豆包,24
32,1972389896,bili_45792247048,舰长,157,恬豆包,24
33,11621965,沐渍唐,舰长,178,恬豆包,24
34,1150609275,金鱼大仙Studio,舰长,178,恬豆包,24
35,8207824,地球OL国服第一混,舰长,120,恬豆包,24
36,481118003,金鱼大鲸鱼,舰长,148,恬豆包,24
37,1669695555,あい秋天_,舰长,148,恬豆包,23
38,393319752,打豆豆haha,舰长,148,恬豆包,23
39,7906121,XDzz4,舰长,148,恬豆包,23
40,400791585,一个自律的石头,舰长,148,恬豆包,23
41,3546646537308935,小阿的守夜人,舰长,148,恬豆包,23
42,247305905,愛吃肉的小白,舰长,148,恬豆包,23
43,13583559,尼耶什格_川子,舰长,148,恬豆包,23
44,12692409,老板断气老板尸体铅钢,舰长,148,恬豆包,23
